S11,1,1,p,0.8465159170009429,1,153,0
S11,1,2,q,0.6957591250011319,2,17,1
S11,1,3,p,0.5341340840004705,1,53,1
S11,1,4,q,0.6206497080002009,1,14,1
S11,1,5,q,0.6077266669999517,2,120,0
S11,1,6,p,0.45296529099869076,3,92,0
S11,1,7,q,0.7816955420003069,1,37,1
S11,1,8,q,0.7051612079994811,3,26,1
S11,1,9,,,1,114,0
S11,1,10,q,0.5002211660012108,1,25,0
S11,1,11,p,0.49223875000097905,2,30,0
S11,1,12,p,0.6330786670005182,2,28,0
S11,1,13,q,0.6236873329999071,3,52,1
S11,1,14,p,0.5465092499998718,1,20,1
S11,1,15,q,0.5440456249998533,3,94,0
S11,1,16,p,0.49307512499945005,1,84,0
S11,1,17,p,0.5353743329997087,2,11,0
S11,1,18,p,0.5853135420002218,2,38,0
S11,1,19,p,0.5388702500004001,3,148,0
S11,1,20,p,0.4700710419983807,3,32,1
S11,1,21,p,0.5007927499991638,2,87,0
S11,1,22,p,0.6219904580011644,1,54,1
S11,1,23,q,0.7104240420012502,2,60,1
S11,1,24,p,0.7682588749994466,2,122,0
S11,1,25,q,0.619177167000089,1,23,1
S11,1,26,p,0.7589161670002795,1,145,0
S11,1,27,q,0.5668923749999522,1,56,0
S11,1,28,p,0.6929973750011413,2,125,0
S11,1,29,p,0.5484670419991744,2,36,1
S11,1,30,q,0.5657818340005178,3,77,0
S11,1,31,p,0.4582119580009021,2,61,0
S11,1,32,p,0.6906534170011582,3,45,1
S11,1,33,p,0.5471720829991682,1,23,0
S11,1,34,q,0.6220964580006694,2,5,1
S11,1,35,q,0.6957397500009392,2,76,0
S11,1,36,q,0.8510533329990722,1,28,1
S11,1,37,p,0.7640639580004063,3,126,0
S11,1,38,p,0.7268371669997578,1,19,0
S11,1,39,p,0.6246597500012285,2,97,0
S11,1,40,q,0.6940333330003341,3,35,1
S11,1,41,p,0.5913354589993105,2,4,0
S11,1,42,q,0.6918269159996271,2,58,1
S11,1,43,p,0.629472792001252,2,3,1
S11,1,44,q,0.6983804589999636,3,48,1
S11,1,45,q,0.8648803750002116,2,39,1
S11,1,46,p,0.6498287080012233,1,100,0
S11,1,47,q,0.6184277089996613,1,119,0
S11,1,48,p,0.6139172080002027,1,151,0
S11,1,49,q,0.7456988750000164,2,1,0
S11,1,50,q,0.7909729590010102,1,24,1
S11,1,51,p,0.7414342499996565,2,22,0
S11,1,52,q,0.704609791000621,3,29,1
S11,1,53,q,0.7857585830006428,1,11,1
S11,1,54,q,0.6917406659995322,2,16,1
S11,1,55,q,0.6933797080000659,2,9,1
S11,1,56,q,0.5455600829991454,1,18,1
S11,1,57,q,0.6270510000013019,1,10,1
S11,1,58,q,0.628706167000928,1,21,1
S11,1,59,q,0.6215973329999542,1,12,1
S11,1,60,q,0.5992582079998101,2,1,1
