51,8,6,Margot Robbie
31,0,5,Sandra Bullock
42,10,5,Greta Thunberg
57,2,5,Serena Williams
59,10,10,Michelle Obama
32,10,10,Anne Hathaway
56,7,8,Jennifer Lawrence
18,0,5,Chris Evans
47,10,7,Hillary Clinton
36,10,10,Lady Gaga
60,9,7,Jennifer Aniston
41,10,10,Ariana Grande
58,3,5,Nicole Kidman
13,5,5,Denzel Washighton
48,10,8,Jennifer Lawrence
15,1,5,Dwayne Johnson
17,10,10,Hugh Jackman
27,0,5,Keanu Reeves
33,10,10,Simone Biles
19,0,5,Harrison Ford
20,10,10,Matt Damon
11,0,5,Chris Evans
8,10,6,Brad Pitt
22,2,5,Lebron James
44,0,5,Cate Blanchett
54,0,5,Cate Blanchett
40,10,8,Gal Gadot
46,10,8,Emma Stone
24,10,10,Ryan Reynolds
55,3,5,Sandra Bullock
23,0,5,Keanu Reeves
3,0,5,Roger Federer
5,10,10,Lionel Messi
50,0,0,Olivia Rodrigo
9,0,0,Denzel Washighton
30,0,5,Robert De Niro
12,10,8,Daniel Radcliffe
25,10,10,Robert De Niro
35,0,5,Adele
38,0,5,Taylor Swift
39,0,5,Cate Blanchett
37,0,0,Sandra Bullock
16,0,5,Ewan McGregor
34,0,5,Keira Knightley
49,0,5,Olivia Rodrigo
14,10,10,Daniel Craig
53,0,5,Millie Bobby Brown
26,0,5,George Clooney
2,10,10,George W.Bush
21,0,5,Henri Canvill
43,0,5,Maria Sharapova
45,0,5,Jennifer Aniston
4,10,7,Cristiano Ronaldo
10,0,5,Tom Holland
6,0,5,Arnold Schwarzeneger
1,10,7,Leonardo Di Caprio
29,0,5,Tom Holland
7,0,0,Tom Holland
28,8,7,Dwayne Johnson
52,10,10,Emma Watson
