S07,2,1,p,1.1928939589997754,2,60
S07,2,2,q,0.8503453750017798,1,91
S07,2,3,q,1.1918026669991377,2,151
S07,2,4,q,1.5427200410013029,2,70
S07,2,5,q,0.9071129580006527,3,120
S07,2,6,p,0.9057502079995174,3,128
S07,2,7,p,1.2895184999979392,3,29
S07,2,8,q,0.9843855829967652,3,94
S07,2,9,q,1.5270038340022438,2,61
S07,2,10,p,0.8488210840005195,1,80
S07,2,11,q,2.7012752090013237,3,53
S07,2,12,q,1.3914527909983008,1,21
S07,2,13,p,1.3002910839968536,3,47
S07,2,14,q,0.9022074589993281,3,118
S07,2,15,p,0.8453769170009764,3,49
S07,2,16,p,1.1987732919988048,1,11
S07,2,17,p,1.184720458000811,2,126
S07,2,18,q,0.9694430830022611,3,117
S07,2,19,q,1.032968957999401,3,43
S07,2,20,p,0.97698866599967,3,45
S07,2,21,p,0.9179454580007587,3,106
S07,2,22,p,0.8415973330011184,3,119
S07,2,23,p,0.8266768749999756,2,134
S07,2,24,p,0.8096153750011581,1,142
S07,2,25,p,0.6307832499987853,3,122
S07,2,26,p,0.976026208998519,2,68
S07,2,27,p,3.2759275839998736,2,44
S07,2,28,q,1.0881410420006432,2,56
S07,2,29,q,2.5537385000025097,1,64
S07,2,30,q,1.1291317499999423,1,9
S07,2,31,q,2.6209345829993254,2,123
S07,2,32,q,1.4248402919984073,2,107
S07,2,33,q,0.9946770829992602,2,124
S07,2,34,p,1.1752249589990242,2,12
S07,2,35,q,1.2052490409987513,2,7
S07,2,36,p,1.3959163750005246,1,18
S07,2,37,q,1.095786958001554,1,41
S07,2,38,q,0.9884691660008684,1,50
S07,2,39,p,1.0851427919988055,3,36
S07,2,40,p,1.576023666002584,2,39
S07,2,41,q,0.9303084169987414,2,66
S07,2,42,q,0.9226195410010405,1,13
S07,2,43,q,1.5858991669992974,2,74
S07,2,44,q,1.5064928749998217,3,69
S07,2,45,q,1.0005377910019888,1,71
S07,2,46,q,0.9189868749999732,2,132
S07,2,47,p,0.8315028750002966,3,125
S07,2,48,p,1.206778250001662,2,42
S07,2,49,q,1.1480230830020446,3,116
S07,2,50,q,1.2418562919992837,1,97
S07,2,51,p,1.105153500000597,2,93
S07,2,52,q,1.1894211250000808,3,144
S07,2,53,q,1.198299624997162,3,59
S07,2,54,q,1.5041585840008338,1,130
S07,2,55,q,1.2686175409980933,3,52
S07,2,56,p,2.172001625000121,2,62
S07,2,57,p,1.4648696250005742,2,129
S07,2,58,q,2.543046124999819,2,51
S07,2,59,q,0.7924861249994137,2,57
S07,2,60,p,0.9336746670014691,1,67
