20,6,6,Cristiano Ronaldo
5,2,4,Lebron James
57,2,3,Olivia Rodrigo
7,6,6,Lionel Messi
26,3,5,George Clooney
45,7,6,Emma Watson
39,2,6,Anne Hathaway
40,2,4,Cate Blanchett
38,3,6,Simone Biles
37,2,2,Natalie Portman
18,3,5,Ewan McGregor
27,2,5,Robert De Niro
8,2,4,Cristiano Ronaldo
23,4,4,Ryan Reynolds
2,4,5,George W.Bush
52,10,10,Emma Watson
10,3,5,Chris Evans
41,2,4,Ariana Grande
25,3,6,George W.Bush
51,8,4,Ariana Grande
19,3,4,Jason Statham
56,3,6,Angelina Jolie
4,6,6,Cristiano Ronaldo
21,4,7,Tom Holland
9,3,6,Bradley Cooper
35,3,6,Hillary Clinton
46,7,4,Emma Stone
17,3,4,Hugh Jackman
12,10,10,Daniel Radcliffe
47,2,6,Cate Blanchett
50,2,6,Millie Bobby Brown
44,3,6,Michelle Obama
28,10,10,Nicolas Cage
53,2,4,Serena Williams
42,2,4,Natalie Portman
3,2,4,Roger Federer
43,3,7,Maria Sharapova
32,2,6,Anne Hathaway
30,10,10,Tom Cruise
1,10,8,Roger Federer
31,2,4,Sandra Bullock
49,2,3,Millie Bobby Brown
36,2,3,Ariana Grande
22,6,6,Henri Canvill
11,2,6,Chris Evans
14,3,4,Daniel Craig
16,3,6,Bruce Willis
15,2,3,Brad Pitt
48,2,4,Jennifer Lawrence
13,4,5,Denzel Washighton
60,2,3,Sandra Bullock
33,2,4,Simone Biles
55,3,5,Julia Roberts
6,3,5,Tom Holland
59,2,4,Michelle Obama
34,3,5,Angelina Jolie
29,3,5,Tom Holland
58,2,5,Nicole Kidman
54,2,6,Cate Blanchett
24,3,5,Keanu Reeves
