pid,block,trial,keypress,rt,ori,stim,fam,cond,missed_trial,acc
1,1,1,q,0.6221949999999197,2,52,1,Famous,no,1
1,1,2,q,0.8388191670001106,2,8,1,Famous,no,1
1,1,3,p,0.6906627919997845,1,73,0,Novel,no,1
1,1,5,q,0.766782750000857,3,38,1,Famous,no,1
1,1,6,q,0.7737755830003152,1,18,1,Famous,no,1
1,1,7,p,0.7061082079999323,1,51,1,Famous,no,0
1,1,8,q,0.7679258750013105,2,31,1,Famous,no,1
1,1,9,p,0.6262974589990336,3,84,0,Novel,no,1
1,1,10,q,0.8367069169999013,2,136,0,Novel,no,0
1,1,11,p,0.5725711659997614,3,74,0,Novel,no,1
1,1,12,q,0.851328167000247,2,46,1,Famous,no,1
1,1,14,q,0.8293332920002285,2,35,1,Famous,no,1
1,1,15,p,0.6780070000004343,2,17,0,Novel,no,1
1,1,16,p,0.6793440420005936,1,146,0,Novel,no,1
1,1,17,q,0.6829107079993264,2,125,0,Novel,no,0
1,1,18,q,0.697099041999536,1,28,1,Famous,no,1
1,1,19,p,0.8157479580004292,3,64,0,Novel,no,1
1,1,21,p,0.6973855839987664,1,19,1,Famous,no,0
1,1,22,q,0.7026204169997072,2,25,1,Famous,no,1
1,1,24,q,0.8531015419994219,3,59,1,Famous,no,1
1,1,25,q,0.5829863750004733,1,56,0,Novel,no,0
1,1,27,q,0.8294223749999219,2,129,0,Novel,no,0
1,1,28,q,0.6994725829990784,2,54,1,Famous,no,1
1,1,29,p,0.576621583000815,2,61,0,Novel,no,1
1,1,30,q,0.7155701249994308,3,25,0,Novel,no,0
1,1,31,q,0.8553660000015952,1,40,1,Famous,no,1
1,1,32,q,0.8582775830000173,3,1,1,Famous,no,1
1,1,33,p,0.5877362500013987,2,38,0,Novel,no,1
1,1,34,q,0.8443195410000044,1,41,1,Famous,no,1
1,1,35,q,0.6152654159996018,3,34,1,Famous,no,1
1,1,36,p,0.7026471669996681,3,10,1,Famous,no,0
1,1,38,q,0.7845803749987681,2,32,1,Famous,no,1
1,1,39,q,0.7621094590012945,1,143,0,Novel,no,0
1,1,42,p,0.7853875839991815,2,4,1,Famous,no,0
1,1,43,q,0.6986845829997037,2,36,1,Famous,no,1
1,1,44,p,0.75723679100156,3,116,0,Novel,no,1
1,1,45,q,0.764933790998839,1,14,0,Novel,no,0
1,1,46,p,0.6200347920002969,3,100,0,Novel,no,1
1,1,47,p,0.6194897920013318,3,95,0,Novel,no,1
1,1,49,q,0.7035556669998186,2,24,1,Famous,no,1
1,1,50,p,0.6202356249996228,2,37,0,Novel,no,1
1,1,51,p,0.6982776670010935,2,26,1,Famous,no,0
1,1,52,q,0.7732302499989601,3,29,1,Famous,no,1
1,1,53,q,0.7358638750010869,1,78,0,Novel,no,0
1,1,54,p,0.721447416999581,3,60,0,Novel,no,1
1,1,55,p,0.7604115409994847,1,135,0,Novel,no,1
1,1,56,p,0.6739109160007501,1,97,0,Novel,no,1
1,1,57,q,0.7584452079991024,2,53,0,Novel,no,0
1,1,58,q,0.693982082999355,2,48,1,Famous,no,1
1,1,59,q,0.7793259999998554,2,23,1,Famous,no,1
1,1,60,p,0.5867300409991003,1,80,0,Novel,no,1
1,2,1,q,0.6928296660007618,1,32,1,Famous,no,1
1,2,2,q,0.575589250000121,2,82,0,Novel,no,0
1,2,3,p,0.7604036249995261,2,18,0,Novel,no,1
1,2,4,p,0.6335236249997251,1,11,0,Novel,no,1
1,2,5,q,0.760678458998882,1,4,1,Famous,no,1
1,2,7,q,0.7764487910008029,1,26,1,Famous,no,1
1,2,8,q,0.7756872080008179,2,45,1,Famous,no,1
1,2,9,p,0.7564905420003925,2,110,0,Novel,no,1
1,2,10,p,0.732188916999803,1,52,0,Novel,no,1
1,2,11,q,0.7647299580003164,3,27,1,Famous,no,1
1,2,13,p,0.7626347500008706,3,138,0,Novel,no,1
1,2,14,q,0.6954125829997793,2,38,1,Famous,no,1
1,2,15,p,0.6270245839987183,1,21,0,Novel,no,1
1,2,17,q,0.8409844170000724,3,8,1,Famous,no,1
1,2,18,q,0.7586807909992785,1,1,1,Famous,no,1
1,2,19,q,0.6912099169985595,1,52,1,Famous,no,1
1,2,21,p,0.7164246249994903,3,77,0,Novel,no,1
1,2,22,p,0.7567282920008438,2,118,0,Novel,no,1
1,2,23,q,0.7030704580010934,2,41,1,Famous,no,1
1,2,24,p,0.5436544999993203,2,34,1,Famous,no,0
1,2,25,q,0.6971616249993531,1,54,1,Famous,no,1
1,2,26,q,0.6212630410009297,1,12,1,Famous,no,1
1,2,27,p,0.6430461250001827,3,32,0,Novel,no,1
1,2,28,p,0.7630564169994614,1,105,0,Novel,no,1
1,2,29,p,0.6706922089997533,2,16,0,Novel,no,1
1,2,30,q,0.6308820409994951,2,9,0,Novel,no,0
1,2,31,p,0.5907701249998354,2,29,0,Novel,no,1
