28,6,4,Dwayne Johnson
40,0,5,Nicole Kidman
5,10,7,Lionel Messi
53,6,5,Keira Knightley
7,2,5,Ben Affleck
20,0,5,Matt Damon
39,0,5,Nicole Kidman
30,0,5,Denzel Washighton
27,0,5,Bruce Willis
58,5,5,Nicole Kidman
14,10,8,Daniel Craig
33,10,10,Simone Biles
45,5,5,Jennifer Aniston
22,6,5,Lebron James
31,7,7,Sandra Bullock
1,9,7,Leonardo Di Caprio
59,10,10,Michelle Obama
16,2,5,Chris Evans
57,6,5,Serena Williams
51,0,5,Margot Robbie
21,0,5,Henri Canvill
10,0,5,Bruce Willis
36,7,6,Lady Gaga
18,0,5,Matt Damon
41,5,5,Ariana Grande
4,10,3,Cristiano Ronaldo
8,3,5,Brad Pitt
25,2,5,Denzel Washighton
47,10,8,Hillary Clinton
50,6,5,Millie Bobby Brown
2,3,5,George W.Bush
24,0,5,Ryan Reynolds
19,0,5,Nicolas Cage
49,6,5,Olivia Rodrigo
46,6,5,Emma Stone
23,2,5,Ryan Gosling
55,2,5,Scarlett Johansson
44,4,5,Cate Blanchett
38,0,5,Jennifer Lawrence
52,7,7,Emma Watson
3,2,5,Roger Federer
60,2,5,Anya Taylor-Joy
12,0,5,Daniel Radcliffe
48,2,5,Millie Bobby Brown
35,10,8,Adele
11,2,5,Chris Evans
37,0,5,Natalie Portman
9,1,5,Bradley Cooper
56,0,5,Nicole Kidman
15,0,5,Harrison Ford
29,1,5,Jason Statham
43,0,5,Cate Blanchett
42,10,6,Greta Thunberg
13,2,5,Denzel Washighton
54,2,5,Julia Roberts
32,2,5,Anne Hathaway
26,8,8,George Clooney
6,8,6,Arnold Schwarzeneger
34,10,7,Angelina Jolie
17,2,5,Tom Cruise
