22,2,5,Lebron James
38,10,6,Taylor Swift
23,10,8,Ryan Gosling
34,10,9,Angelina Jolie
17,10,10,Hugh Jackman
55,10,8,Charlize Theron
18,8,7,Jason Statham
25,7,6,Robert De Niro
37,10,9,Nathalie Portman
53,10,9,Keira Knightley
7,10,7,Ben Affleck
35,10,10,Adele
15,9,6,Harrison Ford
28,10,8,Dwayne Johnson
40,9,3,Gal Gadot
5,10,5,Lionel Messi
11,10,10,Chris Evans
3,3,5,Roger Federer
12,10,10,Daniel Radcliffe
16,8,6,Ewan McGregor
39,10,9,Scarlett Johansson
46,10,6,Emma Stone
1,10,6,Leonardo Di Caprio
8,10,7,Brad Pitt
49,3,5,Olivia Rodrigo
59,10,7,Michelle Obama
32,10,10,Anne Hathaway
2,10,2,George W.Bush
56,10,5,Reese Witherspoon
10,10,7,Bruce Willis
24,10,10,Ryan Reynolds
29,10,10,Tom Holland
33,3,5,Maria Sharapova
52,10,10,Emma Watson
47,6,5,Hilary Clinton
51,10,8,Margot Robbie
48,10,6,Jennifer Lawrence
19,10,4,Nicolas Cage
54,10,6,Julia Roberts
58,10,5,Nicole Kidman
44,10,10,Cate Blanchett
31,10,6,Sandra Bullock
14,10,6,Daniel Craig
42,10,9,Greta Thunberg
27,10,10,Keanu Reeves
20,10,6,Matt Damon
45,10,7,Jennifer Aniston
50,10,6,Millie Bobby Brown
57,4,5,Serena Williams
21,10,10,Henri Canvill
4,10,5,Cristiano Ronaldo
60,10,5,Anya Taylor-Joy
43,3,5,Maria Sharapova
13,6,5,Denzel Washighton
41,10,5,Ariana Grande
6,10,5,Arnold Schwarzeneger
9,10,6,Bradley Cooper
30,10,4,Tom Cruise
26,10,7,George Clooney
36,10,10,Lady Gaga
