pid,fstim
24,140
24,117
24,90
24,53
24,145
24,37
24,128
24,52
24,30
24,42
24,75
24,116
24,45
24,114
24,97
24,43
24,18
24,119
24,2
24,124
24,138
24,1
25,144
25,39
25,81
25,19
25,94
25,28
25,68
25,89
25,150
25,41
25,74
25,138
25,13
25,107
25,118
25,32
25,139
25,75
25,108
25,80
25,153
25,51
25,37
25,76
25,44
25,132
25,125
25,10
25,30
25,66
26,62
26,42
26,81
26,148
26,150
26,41
26,104
26,80
26,78
26,116
26,32
26,91
26,130
26,61
26,107
26,10
26,39
26,50
26,52
26,117
26,36
26,56
26,119
26,138
26,94
26,101
26,93
26,90
26,109
26,69
27,19
27,61
27,21
27,126
27,128
27,125
27,74
27,102
27,144
27,28
27,27
27,142
27,80
27,81
27,95
27,4
27,83
27,130
27,75
27,115
27,57
27,66
27,117
27,120
27,13
27,7
27,107
27,38
27,12
27,79
28,112
28,106
28,68
28,62
28,66
28,2
28,89
28,74
28,151
28,33
28,73
28,26
28,93
28,12
28,18
28,88
28,124
28,25
28,145
28,61
28,129
28,82
28,79
28,115
28,76
28,27
28,139
28,109
28,49
28,141
29,12
29,118
29,57
29,107
29,102
29,23
29,114
29,153
29,71
29,79
29,100
29,108
29,80
29,75
29,83
29,38
29,53
29,72
29,101
29,51
29,43
29,21
29,111
29,33
29,150
29,120
29,152
29,25
29,134
29,30
30,94
30,53
30,30
30,116
30,141
30,97
30,148
30,89
30,80
30,147
30,25
30,37
30,50
30,114
30,7
30,20
30,112
30,36
30,82
30,61
30,72
30,33
30,134
30,78
30,125
30,117
30,59
30,14
30,67
30,132
31,20
31,139
31,77
31,117
31,140
31,56
31,60
31,95
31,147
31,50
31,80
31,14
31,114
31,138
31,68
31,28
31,7
31,92
31,110
31,37
31,19
31,112
31,66
31,90
31,13
31,69
31,111
31,82
31,115
31,74
