pid,block,trial,keypress,rt,ori,stim,fam,cond,missed_trial,acc
2,2,34,p,0.4690473750015371,2,36,1,Famous,no,0
2,2,35,q,0.5496444170003087,2,46,1,Famous,no,1
2,2,36,q,0.3912809580015164,2,61,0,New,no,0
2,2,37,p,0.30634637500043027,2,22,0,New,no,1
2,2,38,p,0.4593629590017372,3,126,0,New,no,1
2,2,39,q,0.5445992919994751,3,28,1,Famous,no,1
2,2,40,p,0.3519637909994344,2,90,0,New,no,1
2,2,41,p,0.5337587920002989,3,131,0,New,no,1
2,2,42,p,0.687101708001137,1,122,0,New,no,1
2,2,43,q,0.46260358300060034,3,31,1,Famous,no,1
2,2,44,q,0.4689454579965968,3,50,1,Famous,no,1
2,2,45,p,0.4606353330018465,3,38,1,Famous,no,0
2,2,46,q,0.4735950840004079,3,17,1,Famous,no,1
2,2,47,p,0.4065719579994038,2,94,0,New,no,1
2,2,48,q,0.544911167002283,1,5,1,Famous,no,1
2,2,49,p,0.5147375409978849,1,59,1,Famous,no,0
2,2,50,q,0.4481901250001102,1,75,0,New,no,0
2,2,51,p,0.465361041999131,1,12,0,New,no,1
2,2,52,q,0.6904497499999707,3,41,1,Famous,no,1
2,2,53,p,0.5409672499990847,3,37,0,New,no,1
2,2,54,p,0.3533961659995839,3,45,0,New,no,1
2,2,55,q,0.4676740830000199,2,45,1,Famous,no,1
2,2,56,q,0.45089945799918496,3,27,0,New,no,0
2,2,57,p,0.4632912919987575,2,141,0,New,no,1
2,2,58,q,0.46809358300015447,2,56,1,Famous,no,1
2,2,59,p,0.4685049999970943,2,12,1,Famous,no,0
2,2,60,q,0.48286533299688017,3,80,0,New,no,0
2,3,1,q,0.5480260420008563,2,26,1,Famous,no,1
2,3,2,p,0.4551252919991384,3,106,0,New,no,1
2,3,3,q,0.4656185420026304,3,21,0,New,no,0
2,3,4,q,0.3675644170034502,1,28,0,New,no,0
2,3,5,p,0.6861282089994347,2,148,0,New,no,1
2,3,6,p,0.5395091659993341,2,5,1,Famous,no,0
2,3,7,q,0.5474370839983749,2,42,1,Famous,no,1
2,3,8,p,0.6833879579971835,1,151,0,New,no,1
2,3,9,q,0.4652481250013807,2,44,1,Famous,no,1
2,3,10,p,0.4321682909976517,1,10,0,New,no,1
2,3,11,q,0.40053783399707754,1,49,0,New,no,0
2,3,12,p,0.350428791000013,1,88,0,New,no,1
2,3,13,p,0.4613510830022278,3,36,1,Famous,no,0
2,3,14,q,0.462276957998256,3,4,1,Famous,no,1
2,3,15,p,0.46183545899839373,1,8,1,Famous,no,0
2,3,16,q,0.36041991599995526,1,39,0,New,no,0
2,3,17,q,0.3958271670016984,2,73,0,New,no,0
2,3,18,p,0.544553708001331,1,38,1,Famous,no,0
2,3,19,q,0.3832542919990374,2,130,0,New,no,0
2,3,20,p,0.7826588329990045,1,33,1,Famous,no,0
2,3,21,q,0.4537205830019957,3,108,0,New,no,0
2,3,22,p,0.5437528330003261,3,56,1,Famous,no,0
2,3,23,p,0.5439858749996347,2,39,1,Famous,no,0
2,3,24,q,0.3690288329999021,3,44,0,New,no,0
2,3,25,q,0.532599541998934,1,138,0,New,no,0
2,3,26,q,0.49378737499864656,2,16,0,New,no,0
2,3,27,p,0.4876878340000985,1,98,0,New,no,1
2,3,28,p,0.4364010410026822,2,17,0,New,no,1
2,3,29,q,0.46228216699819313,3,116,0,New,no,0
2,3,30,q,0.47604837500330177,1,51,1,Famous,no,1
2,3,31,p,0.46922108299986576,2,41,1,Famous,no,0
2,3,32,q,0.5525596670013329,1,17,1,Famous,no,1
2,3,33,p,0.545387624999421,1,43,1,Famous,no,0
2,3,34,q,0.5394143330013321,1,57,1,Famous,no,1
2,3,35,p,0.5454226660003769,2,28,1,Famous,no,0
2,3,36,q,0.6267823750022217,3,93,0,New,no,0
2,3,37,p,0.5480071669990139,1,45,1,Famous,no,0
2,3,38,q,0.4613288750006177,2,48,1,Famous,no,1
2,3,39,p,0.3856518330030667,1,52,1,Famous,no,0
2,3,40,q,0.3802177079996909,3,119,0,New,no,0
2,3,41,p,0.5856900420003512,1,11,0,New,no,1
2,3,42,p,0.4671700420003617,1,12,1,Famous,no,0
2,3,43,q,0.3086482500002603,1,19,0,New,no,0
2,3,44,q,0.39505545800057007,1,64,0,New,no,0
2,3,45,p,0.3884435840009246,1,46,1,Famous,no,0
2,3,46,q,0.6188581249989511,1,19,1,Famous,no,1
2,3,47,q,0.528546625002491,1,132,0,New,no,0
2,3,48,p,0.4721318750016508,2,54,1,Famous,no,0
2,3,49,q,0.8171667919996253,2,69,0,New,no,0
2,3,50,p,0.626648417000979,1,37,1,Famous,no,0
2,3,51,q,0.6867948750004871,3,123,0,New,no,0
2,3,52,p,0.626638792000449,2,47,0,New,no,1
2,3,53,p,0.62771958400117,2,50,1,Famous,no,0
2,3,54,q,0.4047489590011537,2,74,0,New,no,0
2,3,55,p,0.3579229170027247,1,38,0,New,no,1
2,3,56,p,0.3622302090006997,2,56,0,New,no,1
2,3,57,q,0.7068088749983872,2,13,1,Famous,no,1
2,3,58,p,0.8528266249995795,1,31,1,Famous,no,0
2,3,59,q,0.7687740000001213,3,35,1,Famous,no,1
2,3,60,q,0.6952335839996522,3,59,1,Famous,no,1
3,1,1,p,0.8671608750009909,2,14,1,Famous,no,0
3,1,2,p,0.75976087500021094,3,128,0,New,no,1
3,1,3,q,0.6937105409997457,2,5,1,Famous,no,1
3,1,4,q,0.7071839999989606,2,36,1,Famous,no,1
3,1,5,q,0.7750135419992148,1,52,1,Famous,no,1
3,1,6,q,0.8117826659981802,2,50,0,New,no,0
3,1,9,q,0.6342115409970575,3,83,0,New,no,0
3,1,10,q,0.6876902500007418,3,136,0,New,no,0
3,1,11,q,0.8498011250012496,3,4,1,Famous,no,1
3,1,12,q,0.7772844589999295,2,68,0,New,no,0
3,1,13,q,0.7066530000010971,2,33,1,Famous,no,1
3,1,14,q,0.8568290000002889,2,29,1,Famous,no,1
3,1,15,q,0.8594244579981023,3,24,1,Famous,no,1
3,1,16,q,0.7553822090012545,2,35,1,Famous,no,1
3,1,17,p,0.8512247500002559,3,44,1,Famous,no,0
3,1,20,p,0.8450391660007881,1,122,0,New,no,1
3,1,21,q,0.7271447079983773,1,39,0,New,no,0
3,1,22,q,0.5780048339984205,1,41,0,New,no,0
3,1,23,p,0.7600009170018893,2,21,0,New,no,1
3,1,24,q,0.76323104200128,2,153,0,New,no,0
3,1,25,q,0.7003246669992222,2,39,1,Famous,no,1
3,1,26,q,0.6544251249979425,3,9,1,Famous,no,1
3,1,27,q,0.6030886250009644,2,91,0,New,no,0
3,1,28,p,0.8663162920020113,1,21,1,Famous,no,0
3,1,29,q,0.7035473750001984,1,46,1,Famous,no,1
3,1,30,q,0.766645833999064,1,14,0,New,no,0
3,1,32,q,0.6703357500009588,1,16,0,New,no,0
3,1,33,q,0.6907783749993541,1,41,1,Famous,no,1
3,1,34,p,0.6940240410003753,3,28,1,Famous,no,0
3,1,35,q,0.6191068750013073,2,60,1,Famous,no,1
3,1,36,q,0.6964044169981207,1,49,1,Famous,no,1
3,1,37,p,0.7561068750001141,2,105,0,New,no,1
3,1,38,p,0.7593696250005451,2,111,0,New,no,1
3,1,39,q,0.6985121249999793,2,38,1,Famous,no,1
3,1,40,q,0.7648465419988497,2,58,1,Famous,no,1
3,1,41,q,0.8564712910010712,2,20,1,Famous,no,1
3,1,42,q,0.6997269169987703,3,32,1,Famous,no,1
3,1,43,p,0.7199355000011565,2,100,0,New,no,1
3,1,45,p,0.7724582500013639,2,7,1,Famous,no,0
3,1,46,p,0.723114959000668,3,59,0,New,no,1
3,1,48,p,0.758327958999871,2,106,0,New,no,1
3,1,50,q,0.5753642919989943,2,13,0,New,no,0
3,1,51,p,0.7866537089976191,3,17,1,Famous,no,0
3,1,52,q,0.7817282500000147,2,40,1,Famous,no,1
3,1,54,q,0.701426250001532,3,51,1,Famous,no,1
3,1,55,p,0.8405601670019678,1,135,0,New,no,1
3,1,56,q,0.8215994169986516,3,78,0,New,no,0
3,1,57,q,0.5268790830014041,1,27,0,New,no,0
3,1,58,p,0.6849792080029147,3,112,0,New,no,1
3,1,59,p,0.634572124999977,2,92,0,New,no,1
3,1,60,q,0.5936694170013652,3,29,0,New,no,0
3,2,1,p,0.778290250000282,1,28,1,Famous,no,0
