pid,block,trial,keypress,rt,ori,stim,fam,cond,acc
1,1,1,q,0.7069982500015612,1,20,1,Famous,1
1,1,2,q,0.7701081249997515,1,1,1,Famous,1
1,1,3,p,0.7810096249995695,2,23,1,Famous,0
1,1,5,q,0.7663421249999374,2,8,1,Famous,1
1,1,6,p,0.7255456660004711,3,102,0,New,1
1,1,8,p,0.840732750000825,1,1,0,New,1
1,1,9,q,0.8544825000008132,2,7,1,Famous,1
1,1,10,p,0.835916542000632,1,139,0,New,1
1,1,11,p,0.8137609999994311,1,26,0,New,1
1,1,14,p,0.7060088329999417,2,54,1,Famous,0
1,1,17,p,0.6304162079995876,2,93,0,New,1
1,1,18,q,0.8551932919999672,3,6,1,Famous,1
1,1,19,p,0.645106833000682,3,27,0,New,1
1,1,22,p,0.776471416998902,1,28,1,Famous,0
1,1,23,p,0.6834522089993698,1,150,0,New,1
1,1,24,q,0.7787824170009117,2,32,1,Famous,1
1,1,25,p,0.6251965829997062,2,30,1,Famous,0
1,1,26,p,0.7564587500000926,1,81,0,New,1
1,1,28,p,0.6838500000012573,2,36,0,New,1
1,1,29,p,0.7570807090014569,1,43,0,New,1
1,1,31,p,0.6883501249994879,3,29,0,New,1
1,1,32,p,0.6470248330006143,1,28,0,New,1
1,1,33,p,0.7661561250006343,2,51,0,New,1
1,1,37,p,0.7822576250000566,2,12,0,New,1
1,1,38,p,0.8392771659982827,2,116,0,New,1
1,1,40,p,0.5622497920012393,2,2,0,New,1
1,1,41,p,0.8634926670001732,2,25,1,Famous,0
1,1,44,p,0.8336226659994281,1,152,0,New,1
1,1,46,q,0.7127095420000842,2,25,0,New,0
1,1,48,p,0.7722622080000292,1,82,0,New,1
1,1,51,p,0.7700870409989875,3,19,0,New,1
1,1,54,q,0.7829302089994599,1,10,1,Famous,1
1,1,56,q,0.8433619999996154,1,47,1,Famous,1
1,1,60,q,0.8450380840004073,2,5,1,Famous,1
1,2,1,p,0.7733389589993749,3,61,0,New,1
1,2,3,p,0.7694366249997984,2,70,0,New,1
1,2,5,p,0.8000009999996109,2,23,0,New,1
1,2,9,q,0.8549996670008113,1,15,1,Famous,1
1,2,11,p,0.8194451250001293,3,23,1,Famous,0
1,2,13,q,0.860443874998964,3,3,1,Famous,1
1,2,15,p,0.8337237920004554,1,128,0,New,1
1,2,16,q,0.8472213749992079,1,8,1,Famous,1
1,2,17,p,0.7849029170010908,3,45,0,New,1
1,2,22,p,0.6273370830003842,1,59,0,New,1
1,2,23,q,0.8238765839996631,2,6,1,Famous,1
1,2,25,p,0.6622547499991924,2,42,0,New,1
1,2,26,q,0.8562980000006064,1,18,1,Famous,1
1,2,27,p,0.8598080000010668,3,19,1,Famous,0
1,2,29,p,0.7907048750003014,3,44,0,New,1
1,2,31,q,0.8536442920012632,3,25,1,Famous,1
1,2,36,q,0.8327758329996868,2,134,0,New,0
1,2,38,p,0.7209720420014492,3,37,0,New,1
1,2,41,p,0.8267173339991132,2,76,0,New,1
1,2,45,p,0.8373263329995098,2,105,0,New,1
1,2,46,p,0.7383310000004712,1,49,0,New,1
1,2,47,p,0.8412494170006539,3,135,0,New,1
1,2,49,p,0.8377024589990469,1,118,0,New,1
1,2,50,p,0.7315051250006945,3,13,0,New,1
1,2,51,q,0.8313796670008742,2,1,1,Famous,1
1,2,55,q,0.8351587079996534,2,47,1,Famous,1
1,2,57,q,0.8477842080010305,1,32,1,Famous,1
1,2,58,q,0.8561009580007521,2,60,1,Famous,1
1,2,59,q,0.7692252920005558,3,54,1,Famous,1
1,2,60,q,0.7795424579999235,1,13,1,Famous,1
1,3,2,p,0.7664849580014561,1,14,0,New,1
1,3,3,q,0.8533070000012231,3,60,1,Famous,1
1,3,4,p,0.8642970840010094,1,34,1,Famous,0
1,3,6,p,0.8184517080007936,2,4,0,New,1
1,3,7,p,0.7072199169997475,1,89,0,New,1
1,3,8,p,0.6659508329994424,2,60,0,New,1
1,3,9,p,0.845519290998709,3,7,1,Famous,0
1,3,10,q,0.8567782919999445,3,10,1,Famous,1
1,3,13,p,0.8318877090005117,2,109,0,New,1
1,3,14,q,0.8597264580002957,1,45,1,Famous,1
1,3,15,p,0.6344150829991122,3,38,0,New,1
1,3,16,p,0.8085042919992702,3,64,0,New,1
1,3,18,p,0.7726679999996122,2,52,0,New,1
1,3,21,q,0.6836649169999873,1,20,0,New,0
1,3,22,q,0.7049158330009959,3,1,1,Famous,1
1,3,23,p,0.7575080409988004,2,130,0,New,1
1,3,27,q,0.8584029590001592,3,14,1,Famous,1
1,3,28,p,0.7552074590003031,3,17,0,New,1
1,3,29,p,0.8148757079998177,1,69,0,New,1
1,3,30,q,0.8583106660007616,3,32,1,Famous,1
1,3,33,q,0.7689794159996381,1,25,1,Famous,1
1,3,34,p,0.8613683330004278,2,37,1,Famous,0
1,3,35,q,0.8601510409989714,3,18,1,Famous,1
1,3,36,q,0.8606639580011688,1,6,1,Famous,1
1,3,37,q,0.8500141670010635,1,54,1,Famous,1
1,3,40,p,0.7163708330008376,1,47,0,New,1
1,3,41,p,0.8405879999991157,2,119,0,New,1
1,3,42,p,0.6700467499995284,3,98,0,New,1
1,3,45,p,0.6737734169983014,1,83,0,New,1
1,3,49,q,0.8246942499990837,3,80,0,New,0
1,3,50,q,0.8628697919994011,2,3,1,Famous,1
1,3,51,p,0.7809427499996673,1,9,0,New,1
1,3,52,q,0.7783702079996146,3,15,1,Famous,1
1,3,53,p,0.8374248749987601,2,115,0,New,1
1,3,55,p,0.8414407919990481,3,146,0,New,1
1,3,56,p,0.7267164999993838,3,77,0,New,1
1,3,58,p,0.7677660829995148,1,73,0,New,1
