Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Corrected vision,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6899c9e02b6728bcdd9d2743,5ba33d995196c600014853b6,APPROVED,Not Applicable,2025-08-11T10:45:57.776000Z,2025-08-11T11:29:26.315000Z,2025-08-11T11:29:31.753000Z,2025-08-11T11:29:26.741653Z,2609,CGMK46ZK,2593,I mainly use glasses,English,54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6899c9e6bd6c17c70a8e8fea,5987030cfd8cca00015cbc26,APPROVED,Not Applicable,2025-08-11T10:45:58.113000Z,2025-08-11T11:33:48.580000Z,2025-08-11T11:39:13.394000Z,2025-08-11T11:33:48.985316Z,2871,NOCODE,5423,I mainly use glasses,English,61,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6899c9e7ecbddf02cf1e440c,677e29646b0a2cf5eff174dc,APPROVED,Not Applicable,2025-08-11T10:46:06.388000Z,2025-08-11T11:55:02.416000Z,2025-08-11T11:59:06.780000Z,2025-08-11T11:55:02.860539Z,4137,CGMK46ZK,365,I do not use glasses or contact lenses,English,35,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6899c9fb643e4fd4c99026da,62b626b7cc2365d4e7f5c5aa,APPROVED,Not Applicable,2025-08-11T10:46:19.966000Z,2025-08-11T11:24:49.995000Z,2025-08-11T11:29:33.524000Z,2025-08-11T11:24:50.389263Z,2311,CGMK46ZK,2716,I mainly use glasses,English,36,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
6899ca02a831d907526e3cf3,67db41034909b8b0a6acdb78,APPROVED,Not Applicable,2025-08-11T10:46:26.528000Z,2025-08-11T11:55:59.283000Z,2025-08-11T11:59:08.636000Z,2025-08-11T11:55:59.728261Z,4173,CGMK46ZK,168,I do not use glasses or contact lenses,English,38,Male,White,United States,United States,United States,English,No,Part-Time
6899ca35a77bbf81f343fe49,685b607b592c100ec12e663f,APPROVED,Not Applicable,2025-08-11T10:47:17.874000Z,2025-08-11T11:42:41.777000Z,2025-08-11T11:43:10.710000Z,2025-08-11T11:42:42.231102Z,3324,CGMK46ZK,243,I do not use glasses or contact lenses,English,26,Female,Black,United States,United States,United States,English,No,Full-Time
6899ca37bb747c158ee7e9c2,67857d461a748d891eb17016,APPROVED,Not Applicable,2025-08-11T10:47:19.773000Z,2025-08-11T11:36:10.878000Z,2025-08-11T11:39:55.758000Z,2025-08-11T11:36:11.274215Z,2932,CGMK46ZK,540,I do not use glasses or contact lenses,English,26,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6899ca38d091af3eade5564c,67856aab19bad167dbefe5d3,APPROVED,Not Applicable,2025-08-11T10:47:20.662000Z,2025-08-11T12:20:58.304000Z,2025-08-11T12:25:23.426000Z,2025-08-11T12:20:58.706438Z,5618,CGMK46ZK,511,I do not use glasses or contact lenses,English,35,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6899ca3cd08c5e9e3dda1c02,678862b1eccd9d65d8fcfa83,APPROVED,Not Applicable,2025-08-11T10:47:24.618000Z,2025-08-11T12:20:20.822000Z,2025-08-11T12:25:25.316000Z,2025-08-11T12:20:58.218256Z,5577,NOCODE,433,I mainly use glasses,English,37,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
6899ca57026ef2e715ace338,675b6bf5887bccb7fad6c44d,APPROVED,Not Applicable,2025-08-11T10:47:51.541000Z,2025-08-11T12:59:59.963000Z,2025-08-11T13:37:41.131000Z,2025-08-11T13:34:34.745095Z,7929,NOCODE,773,I do not use glasses or contact lenses,English,37,Female,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6899caeb6a7c2f745dd832d7,673cbbb6e625ce8a7e323089,APPROVED,Not Applicable,2025-08-11T10:50:19.547000Z,2025-08-11T12:25:43.183000Z,2025-08-11T12:34:08.782000Z,2025-08-11T12:25:43.605864Z,5724,CGMK46ZK,836,I do not use glasses or contact lenses,English,49,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
