pid,block,cond,keypress,acc,rt
56b78f11e77ebe000cbefe79,1,Learned,q,1,1.2224
56b78f11e77ebe000cbefe79,1,Novel,q,0,0.9413
56b78f11e77ebe000cbefe79,1,Novel,p,1,1.3362
56b78f11e77ebe000cbefe79,1,Novel,q,0,0.9537
56b78f11e77ebe000cbefe79,1,Learned,q,1,0.6507
56b78f11e77ebe000cbefe79,1,Novel,p,1,1.2443
56b78f11e77ebe000cbefe79,1,Novel,p,1,1.544
56b78f11e77ebe000cbefe79,1,Novel,q,0,1.4523
56b78f11e77ebe000cbefe79,1,Novel,q,0,1.6544
56b78f11e77ebe000cbefe79,1,Novel,p,1,0.9325
56b78f11e77ebe000cbefe79,1,Learned,q,1,1.0125
56b78f11e77ebe000cbefe79,1,Novel,q,0,1.5578
56b78f11e77ebe000cbefe79,1,Novel,p,1,1.3073
56b78f11e77ebe000cbefe79,1,Learned,q,1,1.6221
56b78f11e77ebe000cbefe79,1,Novel,p,1,1.6062
56b78f11e77ebe000cbefe79,1,Learned,p,0,1.688
56b78f11e77ebe000cbefe79,1,Learned,q,1,1.221
56b78f11e77ebe000cbefe79,1,Learned,q,1,0.7895
56b78f11e77ebe000cbefe79,1,Learned,q,1,0.7169
56b78f11e77ebe000cbefe79,1,Learned,p,0,0.938
56b78f11e77ebe000cbefe79,1,Novel,p,1,1.2296
56b78f11e77ebe000cbefe79,1,Learned,q,1,0.7855
56b78f11e77ebe000cbefe79,1,Learned,q,1,1.4467
56b78f11e77ebe000cbefe79,1,Learned,q,1,1.1734
56b78f11e77ebe000cbefe79,1,Novel,p,1,1.1274
56b78f11e77ebe000cbefe79,1,Learned,q,1,0.8875
56b78f11e77ebe000cbefe79,1,Novel,p,1,0.9837
56b78f11e77ebe000cbefe79,1,Learned,q,1,1.0207
56b78f11e77ebe000cbefe79,1,Learned,q,1,0.8051
56b78f11e77ebe000cbefe79,1,Learned,q,1,0.6741
56b78f11e77ebe000cbefe79,1,Learned,q,1,0.7064
56b78f11e77ebe000cbefe79,1,Novel,q,0,1.7085
56b78f11e77ebe000cbefe79,1,Learned,q,1,1.2042
