Study_information_1.started,Study_information_1.stopped,key_resp.keys,key_resp.rt,key_resp.duration,session,date,expName,psychopyVersion,OS,frameRate,participant,study_id,Study_information_2.started,Study_information_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Study_information_3.started,Study_information_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Consent.started,Consent.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Instruction_1.started,Instruction_1.stopped,space_cont.keys,space_cont.rt,space_cont.duration,Instruction_2.started,Instruction_2.stopped,space_cont_2.keys,space_cont_2.rt,space_cont_2.duration,Instruction_3.started,Instruction_3.stopped,space_cont_3.keys,space_cont_3.rt,space_cont_3.duration,Instruction_4.started,Instruction_4.stopped,space_cont_4.keys,space_cont_4.rt,space_cont_4.duration,Instruction_5.started,Instruction_5.stopped,space_cont_5.keys,space_cont_5.rt,space_cont_5.duration,Familiarity_Rating.started,Familiarity_Rating.stopped,familiarity_scale.response,familiarity_scale.rt,key_resp_familiarity.keys,familiarity_rating,Valence_Rating.started,Valence_Rating.stopped,valence_scale.response,valence_scale.rt,key_resp_valence.keys,key_resp_valence.rt,key_resp_valence.duration,valence_rating,Name_Selection.started,Name_Selection.stopped,key_resp_naming.keys,key_resp_naming.rt,key_resp_naming.duration,identity_no,image_file,correct_name,selected_name_option,selected_name,correct_name_option,name_correct,qualifies_for_part2,qualified_count_so_far,trials_rating.thisRepN,trials_rating.thisTrialN,trials_rating.thisN,trials_rating.thisIndex,trials_rating.ran,Identity_no,Image,Option1,Option2,Option3,Option4,CorrectName,selection_method,num_selected_identities,qualified_identity_nos,break_1.started,break_1.stopped,Load_Recognition_Trials.started,Load_Recognition_Trials.stopped,Instruction_recog_1.started,Instruction_recog_1.stopped,space_cont_6.keys,space_cont_6.rt,space_cont_6.duration,Instruction_recog_2.started,Instruction_recog_2.stopped,space_cont_7.keys,space_cont_7.rt,space_cont_7.duration,fixation_duration,fix_cross.started,fix_cross.stopped,Practice_Recognition_Trial.started,Practice_Recognition_Trial.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.duration,is_practice,practice_trial_number,is_familiar,participant_response,too_slow,response_time,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,Instruction_recog.started,Instruction_recog.stopped,space_cont_8.keys,space_cont_8.rt,space_cont_8.duration,Recognition_trials.started,Recognition_trials.stopped,key_resp_recognition.keys,recognition_trial_number,original_trial_number,block,trial_in_block,orientation,identity_type,response_familiar,correct,valid_response,Too_slow.started,Too_slow.stopped,break_recog.started,break_recog.stopped,key_resp_6.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_recognition.rt,key_resp_recognition.duration,key_resp_6.rt,key_resp_6.duration,End_experiment.started,End_experiment.stopped
,,,,,6a180b5875f146611ad5ace2,2026-05-28_10h35.04.206,WP1_3,2025.2.3,Win32,60.60606061,69f48670cedd5791181362cb,6a030b8ba3607712b5d4bf26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.3893,123.8398,,,,10,123.8404,125.2631,,,"[""right"",""right"",""right"",""space""]","[0.4803999999985251,0.6990000000000123,0.9540000000000077,1.3785999999940373]","[null,null,null,null]",8,125.2657,126.8767,space,1.5606,,12,Celebrities_Faces/012_rating.jpg,Daniel Radcliffe,3,Daniel Radcliffe,3,TRUE,TRUE,2,0,1,1,11,1,12,Celebrities_Faces/012_rating.jpg,Bruce Willis,Ryan Reynolds,Ewan McGregor,Daniel Radcliffe,Daniel Radcliffe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6a180b5875f146611ad5ace2,2026-05-28_10h35.04.206,WP1_3,2025.2.3,Win32,60.60606061,69f48670cedd5791181362cb,6a030b8ba3607712b5d4bf26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.8774,129.4126,,,,10,129.4131,131.0645,,,"[""right"",""right"",""space""]","[0.6159999999999854,0.8161000000014837,1.5661000000014837]","[null,null,null]",7,131.0672,132.6497,space,1.499,,2,Celebrities_Faces/002_rating.jpg,George W.Bush,3,George W.Bush,3,TRUE,TRUE,3,0,2,2,1,1,2,Celebrities_Faces/002_rating.jpg,Henri Canvill,Chris Evans,Tom Holland,George W.Bush,George W.Bush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6a180b5875f146611ad5ace2,2026-05-28_10h35.04.206,WP1_3,2025.2.3,Win32,60.60606061,69f48670cedd5791181362cb,6a030b8ba3607712b5d4bf26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.6502,135.553,,,,10,135.5538,137.4882,,,"[""right"",""right"",""right"",""right"",""space""]","[0.9712000000029946,1.2214999999999918,1.4050000000000011,1.62590000000597,1.9107000000029757]","[null,null,null,null,null]",9,137.4901,139.2234,space,1.7101,,36,Celebrities_Faces/036_rating.jpg,Lady Gaga,3,Lady Gaga,3,TRUE,TRUE,4,0,3,3,35,1,36,Celebrities_Faces/036_rating.jpg,Serena Williams,Emma Stone,Julia Roberts,Lady Gaga,Lady Gaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6a180b5875f146611ad5ace2,2026-05-28_10h35.04.206,WP1_3,2025.2.3,Win32,60.60606061,69f48670cedd5791181362cb,6a030b8ba3607712b5d4bf26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.2241,144.1286,,,,2,144.1289,145.4187,,,"[""space""]",[1.2092999999970289],[null],5,145.4211,154.8074,space,9.3054,,60,Celebrities_Faces/060_rating.jpg,Anya Taylor-Joy,1,Anya Taylor-Joy,1,TRUE,FALSE,4,0,4,4,59,1,60,Celebrities_Faces/060_rating.jpg,Emma Stone,Anya Taylor-Joy,Michelle Obama,Halle Berry,Anya Taylor-Joy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6a180b5875f146611ad5ace2,2026-05-28_10h35.04.206,WP1_3,2025.2.3,Win32,60.60606061,69f48670cedd5791181362cb,6a030b8ba3607712b5d4bf26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.8083,157.8941,,,,10,157.8949,159.9798,,,"[""right"",""right"",""right"",""right"",""space""]","[1.0940999999940004,1.3448999999984608,1.5639999999999645,1.793899999998473,1.9600999999940427]","[null,null,null,null,null]",9,159.9822,161.8817,space,1.7828,,9,Celebrities_Faces/009_rating.jpg,Bradley Cooper,2,Bradley Cooper,2,TRUE,TRUE,5,0,5,5,8,1,9,Celebrities_Faces/009_rating.jpg,Chris Hemsworth,Tom Cruise,Bradley Cooper,Lebron James,Bradley Cooper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6a180b5875f146611ad5ace2,2026-05-28_10h35.04.206,WP1_3,2025.2.3,Win32,60.60606061,69f48670cedd5791181362cb,6a030b8ba3607712b5d4bf26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.8825,165.0351,,,,10,165.0361,166.6038,,,"[""right"",""space""]","[1.2860000000000014,1.5085000000000264]","[null,null]",6,166.6057,168.6561,space,1.9876,,47,Celebrities_Faces/047_rating.jpg,Hillary Clinton,0,Hillary Clinton,0,TRUE,TRUE,6,0,6,6,46,1,47,Celebrities_Faces/047_rating.jpg,Hillary Clinton,Sandra Bullock,Michelle Obama,Anne Hathaway,Hillary Clinton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6a180b5875f146611ad5ace2,2026-05-28_10h35.04.206,WP1_3,2025.2.3,Win32,60.60606061,69f48670cedd5791181362cb,6a030b8ba3607712b5d4bf26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.6569,170.8917,,,,10,170.8921,172.627,,,"[""right"",""right"",""right"",""space""]","[0.7671999999955119,1.032799999997053,1.3274999999999864,1.6871999999955278]","[null,null,null,null]",8,172.6294,173.7948,space,1.1138,,27,Celebrities_Faces/027_rating.jpg,Keanu Reeves,0,Keanu Reeves,0,TRUE,TRUE,7,0,7,7,26,1,27,Celebrities_Faces/027_rating.jpg,Keanu Reeves,Dwayne Johnson,Bradley Cooper,Daniel Radcliffe,Keanu Reeves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6a180b5875f146611ad5ace2,2026-05-28_10h35.04.206,WP1_3,2025.2.3,Win32,60.60606061,69f48670cedd5791181362cb,6a030b8ba3607712b5d4bf26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.7953,183.6722,,,,10,183.6725,187.66,,,"[""right"",""right"",""right"",""right"",""right"",""left"",""left"",""right"",""left"",""space""]","[0.5529000000059909,0.7577000000030125,0.9494000000059941,1.1380000000000337,1.3378000000044494,2.427300000004493,2.6284000000059677,3.310400000005984,3.6581000000014683,3.922800000004486]","[null,null,null,null,null,null,null,null,null,null]",8,187.6626,189.6794,space,1.9487,,59,Celebrities_Faces/059_rating.jpg,Michelle Obama,0,Michelle Obama,0,TRUE,TRUE,8,0,8,8,58,1,59,Celebrities_Faces/059_rating.jpg,Michelle Obama,Emma Watson,Millie Bobby Brown,Margot Robbie,Michelle Obama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6a180b5875f146611ad5ace2,2026-05-28_10h35.04.206,WP1_3,2025.2.3,Win32,60.60606061,69f48670cedd5791181362cb,6a030b8ba3607712b5d4bf26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.6804,191.5647,,,,10,191.5653,193.1164,,,"[""right"",""right"",""right"",""right"",""right"",""right"",""space""]","[0.2819000000059759,0.4568000000044776,0.6424999999999841,0.8329000000059636,1.0421000000014828,1.2897000000029948,1.506300000004444]","[null,null,null,null,null,null,null]",10,193.1188,197.2711,space,4.1194,,39,Celebrities_Faces/039_rating.jpg,Scarlett Johansson,1,Scarlett Johansson,1,TRUE,TRUE,9,0,9,9,38,1,39,Celebrities_Faces/039_rating.jpg,Simone Biles,Scarlett Johansson,Gal Gadot,Hillary Clinton,Scarlett Johansson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6a180b5875f146611ad5ace2,2026-05-28_10h35.04.206,WP1_3,2025.2.3,Win32,60.60606061,69f48670cedd5791181362cb,6a030b8ba3607712b5d4bf26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.2722,198.956,,,,10,198.9565,200.3242,,,"[""right"",""right"",""right"",""right"",""space""]","[0.48339999999853944,0.6416999999955237,0.8082999999970184,1.0218999999985385,1.3427999999970552]","[null,null,null,null,null]",9,200.3265,201.2749,space,0.9214,,19,Celebrities_Faces/019_rating.jpg,Nicolas Cage,0,Nicolas Cage,0,TRUE,TRUE,10,0,10,10,18,1,19,Celebrities_Faces/019_rating.jpg,Nicolas Cage,George W.Bush,Cristiano Ronaldo,Bradley Cooper,Nicolas Cage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
