pid,block,trial,keypress,rt,ori,stim,fam,cond,missed_trial,acc
1,1,1,p,0.7877027920003457,2,33,1,Famous,no,0
1,1,4,q,0.8592630000021018,1,11,1,Famous,no,1
1,1,5,q,0.857781040998816,2,27,1,Famous,no,1
1,1,7,q,0.8534848330018576,3,40,1,Famous,no,1
1,1,8,q,0.7592080419999547,1,148,0,New,no,0
1,1,9,q,0.93308820799939,2,23,1,Famous,no,1
1,1,10,q,0.7062921249998908,2,22,1,Famous,no,1
1,1,11,q,0.8507114160020137,3,52,1,Famous,no,1
1,1,12,q,0.9138588329988124,3,142,0,New,no,0
1,1,13,q,0.9326193339984457,2,34,1,Famous,no,1
1,1,15,q,0.7770766249996086,1,15,1,Famous,no,1
1,1,16,q,0.7000744580000173,2,4,1,Famous,no,1
1,1,17,q,0.6961940410001262,2,18,1,Famous,no,1
1,1,18,q,0.7847416670010716,1,20,0,New,no,0
1,1,19,q,0.684541167000134,1,1,1,Famous,no,1
1,1,21,q,0.6768085420007992,2,68,0,New,no,0
1,1,22,q,0.7524982499999169,2,79,0,New,no,0
1,1,23,q,0.76135533300112,2,41,0,New,no,0
1,1,25,p,0.9359983750000538,1,14,1,Famous,no,0
1,1,26,p,0.8740762910019839,1,78,0,New,no,1
1,1,28,q,0.823040208000748,2,6,1,Famous,no,1
1,1,29,p,0.9148710000008576,2,11,0,New,no,1
1,1,30,p,0.7458921670004202,1,89,0,New,no,1
1,1,32,q,0.630251041999145,3,94,0,New,no,0
1,1,33,q,0.8607360839996545,3,24,1,Famous,no,1
1,1,34,q,0.9292623750006896,1,32,1,Famous,no,1
1,1,35,q,0.7812264160020277,2,26,1,Famous,no,1
1,1,36,q,0.7921375000005355,1,51,1,Famous,no,1
1,1,38,q,0.9181189589980931,1,9,1,Famous,no,1
1,1,39,q,0.6928942500017001,3,31,1,Famous,no,1
1,1,40,p,0.7849327089970757,1,71,0,New,no,1
1,1,41,q,0.9397239579993766,1,12,1,Famous,no,1
1,1,42,p,0.9142542090012284,3,61,0,New,no,1
1,1,43,q,0.8575670419995731,2,56,1,Famous,no,1
1,1,44,q,0.7243288329991628,2,47,0,New,no,0
1,1,45,q,0.7758917499995732,3,7,1,Famous,no,1
