S26,1,1,q,0.7215585000003557,3,59,0
S26,1,2,q,0.7832084589999795,1,12,1
S26,1,3,p,0.7335763339997357,2,26,0
S26,1,4,q,0.8128352909998284,2,41,0
S26,1,5,q,0.6722268330004226,3,92,0
S26,1,6,,,3,90,0
S26,1,7,,,3,32,0
S26,1,8,,,1,53,0
S26,1,9,q,0.7623150830004306,3,108,0
S26,1,10,q,0.8295948340000905,2,66,0
S26,1,11,,,1,52,1
S26,1,12,,,2,42,1
S26,1,13,q,0.7653775420003512,3,27,1
S26,1,14,q,0.5883595840005,3,1,0
S26,1,15,p,0.7285282919992824,2,28,0
S26,1,16,q,0.7011914590002561,1,49,1
S26,1,17,q,0.8306354169999395,1,73,0
S26,1,18,q,0.7801054999999906,1,45,1
S26,1,19,,,1,112,0
S26,1,20,q,0.7702685830008704,2,31,1
S26,1,21,q,0.7646444160000101,1,135,0
S26,1,22,q,0.8587802080000984,2,54,1
S26,1,23,q,0.6839261670002088,2,151,0
S26,1,24,q,0.6248599999998987,3,32,1
S26,1,25,q,0.6982418330007931,1,56,1
S26,1,26,q,0.6566699579998385,1,125,0
S26,1,27,q,0.7514192090002325,1,7,0
S26,1,28,p,0.7821507500002554,1,101,0
S26,1,29,q,0.7817669159994693,3,37,1
S26,1,30,p,0.7071382080002877,3,49,0
S26,1,31,,,3,105,0
S26,1,32,p,0.7844434590006131,2,24,1
S26,1,33,p,0.829210707999664,3,56,0
S26,1,34,,,3,29,1
S26,1,35,q,0.7296140830003424,1,59,1
S26,1,36,q,0.6004821249998713,3,62,0
S26,1,37,q,0.6708702079995419,3,91,0
S26,1,38,p,0.7729365830000461,1,8,1
S26,1,39,q,0.8648947499996211,2,3,1
S26,1,40,,,1,129,0
S26,1,41,q,0.7547901660000207,3,107,0
S26,1,42,p,0.7603700409999874,3,113,0
S26,1,43,p,0.7612605829999666,2,118,0
S26,1,44,p,0.8446294579998721,1,9,0
S26,1,45,p,0.6349284999996598,1,95,0
S26,1,46,p,0.8612567500003934,1,33,1
S26,1,47,q,0.8618645420001485,1,34,1
S26,1,48,p,0.7055073749997973,1,11,0
S26,1,49,q,0.7752532919994337,3,28,1
S26,1,50,p,0.7669973330002904,1,41,1
S26,1,51,q,0.7770782080006029,2,38,1
S26,1,52,p,0.8548430829996505,3,14,1
S26,1,53,q,0.8243172080001386,2,1,1
S26,1,54,,,3,36,1
S26,1,55,q,0.77667187499992,3,46,1
S26,1,56,q,0.7030167920001986,2,60,1
S26,1,57,q,0.851824041999862,3,51,1
S26,1,58,,,1,40,1
S26,1,59,p,0.852577583999846,1,26,1
S26,1,60,q,0.6227819590003492,2,39,1
