Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Corrected vision,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Submission approval rate
6a180b209438380c0c85532c,5755c957eb80c4000741a9ce,APPROVED,Not Applicable,2026-05-28T09:30:21.951000Z,2026-05-28T09:49:14.281000Z,2026-05-28T10:33:14.793000Z,2026-05-28T09:49:14.641220Z,1133.0,CGMK46ZK,9737,I mainly use glasses,English,43,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,100
6a180b366bbe888e3339c11e,6745f46c86b3a0d19cd1d4b7,APPROVED,Not Applicable,2026-05-28T09:30:35.306000Z,2026-05-28T09:58:43.093000Z,2026-05-28T10:33:15.883000Z,2026-05-28T09:58:43.448388Z,1688.0,CGMK46ZK,839,I do not use glasses or contact lenses,"English, Italian, Portuguese",26,Female,White,Brazil,United Kingdom,Italy,Italian,Yes,Other,100
6a180b3ecc14e309cf7cc620,69d16520e6f55fa76d9ed3a8,APPROVED,Not Applicable,2026-05-28T09:35:03.993000Z,2026-05-28T10:14:50.734000Z,2026-05-28T10:52:31.693000Z,2026-05-28T10:14:51.101419Z,2387.0,6a180b3ecc14e309cf7cc620,76,I mainly use glasses,"Catalan, English, Spanish",31,Male,White,Spain,United Kingdom,Spain,Spanish,No,Full-Time,100
6a180b52095b1d794adaf154,69e7cf974340d8d7ad70ac8d,APPROVED,Not Applicable,2026-05-28T09:31:05.378000Z,2026-05-28T09:56:35.670000Z,2026-05-28T10:44:46.278000Z,2026-05-28T09:56:36.039823Z,1531.0,NOCODE,296,I do not use glasses or contact lenses,English,18,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking),100
6a180b52f45f157cba1954f5,6a00cfcf9297da26cc416931,APPROVED,Not Applicable,2026-05-28T09:31:02.375000Z,2026-05-28T09:48:26.566000Z,2026-05-28T10:33:46.539000Z,2026-05-28T09:48:26.936901Z,1045.0,CGMK46ZK,27,I do not use glasses or contact lenses,English,36,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",96
6a180b568c0bd93f37765aa6,69f23aab27d87023c4d12b28,APPROVED,Not Applicable,2026-05-28T09:31:13.664000Z,2026-05-28T10:28:19.162000Z,2026-05-28T10:48:33.908000Z,2026-05-28T10:28:19.512132Z,3426.0,NOCODE,394,I mainly use glasses,English,56,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",100
6a180b571af3c9567a8ad244,6a0afe59b02506397f21638d,APPROVED,Not Applicable,2026-05-28T09:31:50.607000Z,2026-05-28T10:17:33.371000Z,2026-05-28T10:33:55.578000Z,2026-05-28T10:17:33.766725Z,2743.0,CGMK46ZK,35,I do not use glasses or contact lenses,English,23,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time,100
6a180b58162c6151b2e3bb61,5dd2da8c9b66eb2e6e34d829,APPROVED,Not Applicable,2026-05-28T09:31:44.036000Z,2026-05-28T10:08:51.264000Z,2026-05-28T10:33:53.871000Z,2026-05-28T10:08:51.649322Z,2228.0,CGMK46ZK,635,I mainly use contact lenses,English,45,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,100
6a180b5875f146611ad5ace2,69f48670cedd5791181362cb,APPROVED,Not Applicable,2026-05-28T09:33:10.800000Z,2026-05-28T09:56:17.237000Z,2026-05-28T10:34:03.872000Z,2026-05-28T09:56:17.576660Z,1387.0,CGMK46ZK,265,I mainly use glasses,English,41,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",100
6a180b5ab5a5e1be04527fd3,69f205e81325e0942cd07d79,APPROVED,Not Applicable,2026-05-28T09:31:10.075000Z,2026-05-28T09:51:37.280000Z,2026-05-28T10:33:48.585000Z,2026-05-28T09:51:37.645128Z,1228.0,CGMK46ZK,234,I mainly use glasses,English,19,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)",100
6a180b5cf89d76ee8f30802e,69f7b629bc96f4389dcb9507,APPROVED,Not Applicable,2026-05-28T09:32:13.727000Z,2026-05-28T10:18:03.263000Z,2026-05-28T10:50:26.414000Z,2026-05-28T10:18:03.626741Z,2750.0,NOCODE,350,I do not use glasses or contact lenses,"English, Swahili",32,Male,Black,Kenya,United States,United States,Swahili,No,Full-Time,100
6a180b62fdc89e8ac42e82ed,6a04366fb4a4aa679e7dc1ba,APPROVED,Not Applicable,2026-05-28T09:32:16.561000Z,2026-05-28T09:58:31.113000Z,2026-05-28T10:33:57.367000Z,2026-05-28T09:58:31.474406Z,1575.0,CGMK46ZK,80,I do not use glasses or contact lenses,English,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",100
6a180b630b75030e234533e2,613e43c8482d4b2138303971,APPROVED,Not Applicable,2026-05-28T09:37:44.229000Z,2026-05-28T10:00:42.229000Z,2026-05-28T10:53:17.740000Z,2026-05-28T10:00:42.620307Z,1378.0,NOCODE,381,I mainly use glasses,English,44,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,100
6a180b71b15d00b8bab5db92,629f7118ea1b5e22a22a6b39,APPROVED,Not Applicable,2026-05-28T09:31:29.320000Z,2026-05-28T10:20:45.946000Z,2026-05-28T10:33:51.963000Z,2026-05-28T10:20:46.311466Z,2957.0,CGMK46ZK,2639,I do not use glasses or contact lenses,English,33,Male,White,United States,United States,United States,English,DATA_EXPIRED,Part-Time,99
6a180b738c174ae477dcadf8,605f6b4a2ba01a3c9e925d31,APPROVED,Not Applicable,2026-05-28T09:32:40.498000Z,2026-05-28T10:04:15.615000Z,2026-05-28T10:33:59.168000Z,2026-05-28T10:04:15.997072Z,1896.0,CGMK46ZK,959,I mainly use glasses,English,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,99
6a180b73eecdc00050d1f8fd,6a0061939b0d50b1177ab27d,APPROVED,Not Applicable,2026-05-28T09:31:31.392000Z,2026-05-28T10:12:08.088000Z,2026-05-28T10:49:59.247000Z,2026-05-28T10:12:08.482968Z,2437.0,NOCODE,32,I do not use glasses or contact lenses,English,25,Male,Black,United Kingdom,United Kingdom,DATA_EXPIRED,English,No,Full-Time,100
6a180bc1d4c726d3cb8441cf,69c5c59cad63583701158593,APPROVED,Not Applicable,2026-05-28T09:32:58.302000Z,2026-05-28T10:45:46.944000Z,2026-05-28T11:23:25.600000Z,2026-05-28T10:45:47.283075Z,4369.0,NOCODE,780,I do not use glasses or contact lenses,English,19,Male,Black,United States,United States,United States,English,No,Part-Time,100
6a180bef634fda07dd756d24,6a151a4fab08eb955f9294c3,APPROVED,Not Applicable,2026-05-28T09:33:44.589000Z,2026-05-28T10:08:51.103000Z,2026-05-28T10:34:05.688000Z,2026-05-28T10:08:51.445485Z,2107.0,CGMK46ZK,22,I mainly use contact lenses,"Arabic, English",19,Male,Asian,United States,United States,Pakistan,English,Yes,Unemployed (and job seeking),100
6a180c3a0b3f668f825d11cd,5883d68d300c0b000113db56,APPROVED,Not Applicable,2026-05-28T09:34:56.106000Z,2026-05-28T09:59:57.128000Z,2026-05-28T10:53:30.711000Z,2026-05-28T09:59:57.495612Z,1502.0,NOCODE,2891,I mainly use glasses,"Gaelic, English",53,Female,White,Ireland,United Kingdom,Ireland,English,No,Part-Time,100
6a180d3e3c2f066421cafed2,60e845f301f5a5901200baf4,APPROVED,Not Applicable,2026-05-28T09:41:44.074000Z,2026-05-28T10:06:35.981000Z,2026-05-28T10:34:08.930000Z,2026-05-28T10:06:36.353599Z,1492.0,CGMK46ZK,5107,I mainly use glasses,English,53,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,100
6a180d4d0ef25bbf2bde78f5,66c13cc0c9ba487034df285c,APPROVED,Not Applicable,2026-05-28T09:39:36.175000Z,2026-05-28T10:08:25.958000Z,2026-05-28T10:34:07.295000Z,2026-05-28T10:08:26.337792Z,1730.0,CGMK46ZK,1876,I use both glasses and contact lenses,English,51,Female,White,United States,United States,United States,English,No,Full-Time,99
