pid,block,cond,keypress,rt,acc,missed_trial
55d51a6b8ce09000127d4821,1,novel,p,0.8841,1,no
55d51a6b8ce09000127d4821,1,novel,p,0.9126,1,no
55d51a6b8ce09000127d4821,1,novel,p,0.7266,1,no
55d51a6b8ce09000127d4821,1,novel,p,0.7857,1,no
55d51a6b8ce09000127d4821,1,familiar,q,0.8502,1,no
55d51a6b8ce09000127d4821,1,familiar,q,0.6779,1,no
55d51a6b8ce09000127d4821,1,familiar,q,0.8989,1,no
55d51a6b8ce09000127d4821,1,familiar,q,0.5766,1,no
55d51a6b8ce09000127d4821,1,familiar,q,0.7861,1,no
55d51a6b8ce09000127d4821,1,familiar,q,0.755,1,no
55d51a6b8ce09000127d4821,1,novel,p,0.6517,1,no
55d51a6b8ce09000127d4821,1,novel,p,0.7381,1,no
55d51a6b8ce09000127d4821,1,familiar,q,0.6088,1,no
55d51a6b8ce09000127d4821,1,familiar,q,0.7278,1,no
55d51a6b8ce09000127d4821,1,familiar,q,0.7629,1,no
55d51a6b8ce09000127d4821,1,novel,p,0.655,1,no
55d51a6b8ce09000127d4821,1,novel,p,0.6768,1,no
55d51a6b8ce09000127d4821,1,familiar,q,0.6032,1,no
55d51a6b8ce09000127d4821,1,familiar,q,0.5442,1,no
55d51a6b8ce09000127d4821,1,familiar,q,0.5922,1,no
55d51a6b8ce09000127d4821,1,familiar,q,0.6281,1,no
55d51a6b8ce09000127d4821,1,familiar,q,0.6047,1,no
55d51a6b8ce09000127d4821,1,novel,p,0.9002,1,no
55d51a6b8ce09000127d4821,1,familiar,q,0.699,1,no
55d51a6b8ce09000127d4821,1,novel,p,0.7393,1,no
55d51a6b8ce09000127d4821,1,novel,p,0.6265,1,no
55d51a6b8ce09000127d4821,1,novel,p,0.7245,1,no
55d51a6b8ce09000127d4821,1,novel,p,0.5818,1,no
55d51a6b8ce09000127d4821,1,familiar,q,0.497,1,no
55d51a6b8ce09000127d4821,1,familiar,q,0.7105,1,no
55d51a6b8ce09000127d4821,1,familiar,q,0.5709,1,no
55d51a6b8ce09000127d4821,1,novel,p,0.6077,1,no
55d51a6b8ce09000127d4821,1,familiar,p,0.7605,0,no
55d51a6b8ce09000127d4821,1,familiar,q,0.7652,1,no
55d51a6b8ce09000127d4821,1,familiar,q,0.5525,1,no
55d51a6b8ce09000127d4821,1,familiar,p,0.6704,0,no
55d51a6b8ce09000127d4821,1,novel,p,0.6831,1,no
55d51a6b8ce09000127d4821,1,familiar,q,0.5842,1,no
55d51a6b8ce09000127d4821,1,novel,p,0.591,1,no
55d51a6b8ce09000127d4821,1,novel,p,0.5969,1,no
55d51a6b8ce09000127d4821,1,familiar,q,0.5598,1,no
55d51a6b8ce09000127d4821,1,familiar,q,0.6208,1,no
55d51a6b8ce09000127d4821,1,novel,p,0.8078,1,no
55d51a6b8ce09000127d4821,1,novel,p,0.7058,1,no
55d51a6b8ce09000127d4821,1,novel,p,0.6309,1,no
55d51a6b8ce09000127d4821,1,familiar,q,0.5857,1,no
55d51a6b8ce09000127d4821,1,novel,p,0.5961,1,no
55d51a6b8ce09000127d4821,1,novel,p,0.7804,1,no
55d51a6b8ce09000127d4821,1,novel,p,0.8993,1,no
55d51a6b8ce09000127d4821,1,familiar,q,0.6476,1,no
55d51a6b8ce09000127d4821,1,novel,p,0.5925,1,no
55d51a6b8ce09000127d4821,1,novel,p,0.5537,1,no
55d51a6b8ce09000127d4821,1,novel,q,0.6314,0,no
55d51a6b8ce09000127d4821,1,novel,p,0.8433,1,no
55d51a6b8ce09000127d4821,1,novel,p,0.893,1,no
55d51a6b8ce09000127d4821,1,novel,p,0.6069,1,no
55d51a6b8ce09000127d4821,1,familiar,p,0.9155,0,no
55d51a6b8ce09000127d4821,1,novel,p,0.5713,1,no
55d51a6b8ce09000127d4821,1,familiar,q,0.8356,1,no
55d51a6b8ce09000127d4821,2,familiar,q,0.6685,1,no
55d51a6b8ce09000127d4821,2,novel,p,0.6052,1,no
55d51a6b8ce09000127d4821,2,familiar,q,0.5534,1,no
55d51a6b8ce09000127d4821,2,novel,p,0.7826,1,no
55d51a6b8ce09000127d4821,2,novel,p,0.782,1,no
55d51a6b8ce09000127d4821,2,familiar,q,0.4773,1,no
55d51a6b8ce09000127d4821,2,novel,p,0.5789,1,no
55d51a6b8ce09000127d4821,2,familiar,q,0.5113,1,no
55d51a6b8ce09000127d4821,2,familiar,q,0.5368,1,no
55d51a6b8ce09000127d4821,2,familiar,p,0.617,0,no
55d51a6b8ce09000127d4821,2,novel,p,0.5542,1,no
55d51a6b8ce09000127d4821,2,novel,p,0.6475,1,no
55d51a6b8ce09000127d4821,2,novel,p,0.5712,1,no
55d51a6b8ce09000127d4821,2,familiar,q,0.7129,1,no
55d51a6b8ce09000127d4821,2,familiar,q,0.5482,1,no
55d51a6b8ce09000127d4821,2,familiar,q,0.6302,1,no
55d51a6b8ce09000127d4821,2,novel,p,0.7644,1,no
55d51a6b8ce09000127d4821,2,familiar,q,0.5195,1,no
55d51a6b8ce09000127d4821,2,familiar,q,0.5168,1,no
55d51a6b8ce09000127d4821,2,familiar,q,0.5248,1,no
55d51a6b8ce09000127d4821,2,familiar,p,0.686,0,no
55d51a6b8ce09000127d4821,2,novel,p,0.9784,1,no
55d51a6b8ce09000127d4821,2,familiar,q,0.5031,1,no
55d51a6b8ce09000127d4821,2,familiar,q,0.5295,1,no
55d51a6b8ce09000127d4821,2,novel,p,0.713,1,no
55d51a6b8ce09000127d4821,2,novel,p,0.6243,1,no
55d51a6b8ce09000127d4821,2,novel,p,0.6525,1,no
55d51a6b8ce09000127d4821,2,familiar,q,0.678,1,no
55d51a6b8ce09000127d4821,2,familiar,q,0.4959,1,no
55d51a6b8ce09000127d4821,2,familiar,q,0.5045,1,no
55d51a6b8ce09000127d4821,2,familiar,q,0.4924,1,no
55d51a6b8ce09000127d4821,2,novel,p,0.5447,1,no
55d51a6b8ce09000127d4821,2,novel,p,0.5231,1,no
55d51a6b8ce09000127d4821,2,familiar,q,0.5052,1,no
55d51a6b8ce09000127d4821,2,novel,q,0.797,0,no
55d51a6b8ce09000127d4821,2,familiar,q,0.6533,1,no
55d51a6b8ce09000127d4821,2,familiar,q,0.787,1,no
55d51a6b8ce09000127d4821,2,novel,p,0.7941,1,no
55d51a6b8ce09000127d4821,2,novel,p,0.6491,1,no
55d51a6b8ce09000127d4821,2,familiar,q,0.581,1,no
55d51a6b8ce09000127d4821,2,familiar,q,0.5645,1,no
55d51a6b8ce09000127d4821,2,novel,p,0.7089,1,no
55d51a6b8ce09000127d4821,2,novel,p,0.6607,1,no
55d51a6b8ce09000127d4821,2,novel,p,0.6245,1,no
55d51a6b8ce09000127d4821,2,familiar,q,0.5203,1,no
55d51a6b8ce09000127d4821,2,novel,p,0.6298,1,no
55d51a6b8ce09000127d4821,2,familiar,q,0.976,1,no
55d51a6b8ce09000127d4821,2,novel,p,0.7271,1,no
55d51a6b8ce09000127d4821,2,novel,p,0.7875,1,no
55d51a6b8ce09000127d4821,2,novel,p,0.5549,1,no
55d51a6b8ce09000127d4821,2,familiar,p,0.6174,0,no
55d51a6b8ce09000127d4821,2,novel,p,0.5269,1,no
55d51a6b8ce09000127d4821,2,novel,p,0.5786,1,no
55d51a6b8ce09000127d4821,2,novel,p,0.7613,1,no
55d51a6b8ce09000127d4821,2,novel,p,0.606,1,no
55d51a6b8ce09000127d4821,2,familiar,q,0.5134,1,no
55d51a6b8ce09000127d4821,2,novel,p,0.5402,1,no
55d51a6b8ce09000127d4821,2,familiar,q,0.5537,1,no
55d51a6b8ce09000127d4821,2,novel,p,0.4883,1,no
55d51a6b8ce09000127d4821,3,novel,p,0.5353,1,no
55d51a6b8ce09000127d4821,3,novel,p,0.5024,1,no
55d51a6b8ce09000127d4821,3,familiar,q,0.5205,1,no
55d51a6b8ce09000127d4821,3,familiar,q,0.4858,1,no
55d51a6b8ce09000127d4821,3,familiar,q,0.5656,1,no
55d51a6b8ce09000127d4821,3,familiar,q,0.5494,1,no
55d51a6b8ce09000127d4821,3,familiar,q,0.5929,1,no
55d51a6b8ce09000127d4821,3,familiar,q,0.5199,1,no
55d51a6b8ce09000127d4821,3,familiar,q,0.6751,1,no
55d51a6b8ce09000127d4821,3,novel,p,0.6335,1,no
55d51a6b8ce09000127d4821,3,familiar,q,0.5684,1,no
55d51a6b8ce09000127d4821,3,novel,p,0.7137,1,no
55d51a6b8ce09000127d4821,3,novel,p,0.5331,1,no
55d51a6b8ce09000127d4821,3,familiar,q,0.509,1,no
55d51a6b8ce09000127d4821,3,familiar,q,0.5139,1,no
55d51a6b8ce09000127d4821,3,novel,p,0.5331,1,no
55d51a6b8ce09000127d4821,3,familiar,q,0.5185,1,no
55d51a6b8ce09000127d4821,3,familiar,q,0.668,1,no
55d51a6b8ce09000127d4821,3,familiar,q,0.5318,1,no
55d51a6b8ce09000127d4821,3,novel,p,0.6326,1,no
55d51a6b8ce09000127d4821,3,novel,p,0.4695,1,no
55d51a6b8ce09000127d4821,3,novel,p,0.551,1,no
55d51a6b8ce09000127d4821,3,novel,p,0.4643,1,no
55d51a6b8ce09000127d4821,3,familiar,q,0.5623,1,no
55d51a6b8ce09000127d4821,3,familiar,q,0.5315,1,no
55d51a6b8ce09000127d4821,3,novel,p,0.6373,1,no
55d51a6b8ce09000127d4821,3,familiar,q,0.6529,1,no
55d51a6b8ce09000127d4821,3,novel,p,0.6431,1,no
55d51a6b8ce09000127d4821,3,novel,p,0.9018,1,no
55d51a6b8ce09000127d4821,3,novel,p,0.5331,1,no
55d51a6b8ce09000127d4821,3,novel,p,0.5287,1,no
55d51a6b8ce09000127d4821,3,familiar,q,0.6363,1,no
55d51a6b8ce09000127d4821,3,novel,p,0.457,1,no
55d51a6b8ce09000127d4821,3,familiar,q,0.5885,1,no
55d51a6b8ce09000127d4821,3,novel,p,0.4603,1,no
55d51a6b8ce09000127d4821,3,novel,p,0.4603,1,no
55d51a6b8ce09000127d4821,3,familiar,q,0.544,1,no
55d51a6b8ce09000127d4821,3,familiar,q,0.6887,1,no
55d51a6b8ce09000127d4821,3,familiar,q,0.5448,1,no
55d51a6b8ce09000127d4821,3,novel,p,0.6637,1,no
55d51a6b8ce09000127d4821,3,familiar,p,0.4855,0,no
55d51a6b8ce09000127d4821,3,familiar,q,0.5741,1,no
55d51a6b8ce09000127d4821,3,familiar,q,0.7438,1,no
55d51a6b8ce09000127d4821,3,familiar,q,0.5492,1,no
55d51a6b8ce09000127d4821,3,familiar,q,0.5872,1,no
55d51a6b8ce09000127d4821,3,familiar,q,0.528,1,no
55d51a6b8ce09000127d4821,3,novel,p,0.5777,1,no
55d51a6b8ce09000127d4821,3,novel,p,0.6375,1,no
55d51a6b8ce09000127d4821,3,novel,p,0.6005,1,no
55d51a6b8ce09000127d4821,3,familiar,q,0.6513,1,no
55d51a6b8ce09000127d4821,3,familiar,q,0.5194,1,no
55d51a6b8ce09000127d4821,3,novel,p,0.5225,1,no
55d51a6b8ce09000127d4821,3,familiar,q,0.5488,1,no
55d51a6b8ce09000127d4821,3,novel,p,0.6665,1,no
55d51a6b8ce09000127d4821,3,novel,p,0.7431,1,no
55d51a6b8ce09000127d4821,3,novel,p,0.5522,1,no
55d51a6b8ce09000127d4821,3,novel,p,0.5484,1,no
55d51a6b8ce09000127d4821,3,novel,p,0.4426,1,no
55d51a6b8ce09000127d4821,3,novel,p,0.4881,1,no
55d51a6b8ce09000127d4821,3,novel,p,0.6865,1,no
5a46d551b77a5000014a8ce9,1,novel,q,0.866,0,no
5a46d551b77a5000014a8ce9,1,familiar,q,0.692,1,no
5a46d551b77a5000014a8ce9,1,familiar,p,0.695,0,no
5a46d551b77a5000014a8ce9,1,familiar,q,0.562,1,no
5a46d551b77a5000014a8ce9,1,familiar,p,0.805,0,no
5a46d551b77a5000014a8ce9,1,familiar,q,0.624,1,no
5a46d551b77a5000014a8ce9,1,novel,q,0.641,0,no
5a46d551b77a5000014a8ce9,1,novel,p,0.85,1,no
5a46d551b77a5000014a8ce9,1,familiar,q,0.677,1,no
5a46d551b77a5000014a8ce9,1,familiar,p,0.677,0,no
5a46d551b77a5000014a8ce9,1,novel,p,0.754,1,no
5a46d551b77a5000014a8ce9,1,novel,p,0.681,1,no
5a46d551b77a5000014a8ce9,1,novel,p,0.703,1,no
5a46d551b77a5000014a8ce9,1,novel,q,0.451,0,no
5a46d551b77a5000014a8ce9,1,novel,q,0.669,0,no
5a46d551b77a5000014a8ce9,1,familiar,q,0.588,1,no
5a46d551b77a5000014a8ce9,1,familiar,q,0.848,1,no
5a46d551b77a5000014a8ce9,1,novel,p,0.801,1,no
5a46d551b77a5000014a8ce9,1,novel,p,0.777,1,no
5a46d551b77a5000014a8ce9,1,novel,p,0.838,1,no
5a46d551b77a5000014a8ce9,1,familiar,q,0.698,1,no
5a46d551b77a5000014a8ce9,1,novel,p,0.823,1,no
5a46d551b77a5000014a8ce9,1,novel,p,0.943,1,no
5a46d551b77a5000014a8ce9,1,familiar,q,0.969,1,no
5a46d551b77a5000014a8ce9,1,novel,p,0.746,1,no
5a46d551b77a5000014a8ce9,1,familiar,q,0.883,1,no
