pid,block,trial,keypress,rt,ori,stim,fam,cond,missed_trial,acc
1,1,1,q,0.6987226669998563,1,48,1,Famous,no,1
1,1,3,q,0.7672524580002573,1,143,0,New,no,0
1,1,4,p,0.6246129159999327,2,39,1,Famous,no,0
1,1,5,p,0.552279250000538,1,95,0,New,no,1
1,1,6,p,0.6187309999995705,1,36,1,Famous,no,0
1,1,7,p,0.8491506249993108,3,4,1,Famous,no,0
1,1,8,q,0.4895899160001136,2,30,0,New,no,0
1,1,9,p,0.5749911670000074,3,1,0,New,no,1
1,1,10,p,0.4323980830004075,2,90,0,New,no,1
1,1,11,p,0.6280303749999803,3,32,1,Famous,no,0
1,1,12,p,0.7609718749999956,2,53,0,New,no,1
1,1,13,q,0.6920011250003881,2,9,1,Famous,no,1
1,1,14,q,0.5421211670000048,2,45,1,Famous,no,1
1,1,15,q,0.505305125000632,3,26,0,New,no,0
1,1,16,q,0.6222466250001162,1,94,0,New,no,0
1,1,17,q,0.6932043749993682,3,52,1,Famous,no,1
1,1,18,q,0.6249094169997989,2,42,1,Famous,no,1
1,1,19,q,0.7610026659995128,1,123,0,New,no,0
1,1,20,p,0.45627137500014214,1,97,0,New,no,1
1,1,21,p,0.6206729169998653,3,50,1,Famous,no,0
1,1,22,p,0.5243692089998149,2,1,1,Famous,no,0
1,1,23,q,0.6124527920001128,2,108,0,New,no,0
1,1,24,q,0.6324117079993812,3,14,1,Famous,no,1
1,1,25,p,0.6323839160004354,2,28,1,Famous,no,0
1,1,26,q,0.6441192089996548,3,22,0,New,no,0
1,1,27,p,0.4149360840001464,1,75,0,New,no,1
1,1,28,p,0.5446117920000688,3,46,1,Famous,no,0
1,1,29,p,0.5414724590000333,3,34,1,Famous,no,0
1,1,30,p,0.5402922499997658,1,25,1,Famous,no,0
1,1,31,p,0.6257666249994145,3,13,1,Famous,no,0
1,1,32,q,0.684940624999399,2,135,0,New,no,0
1,1,33,q,0.857203832999403,2,38,1,Famous,no,1
1,1,34,q,0.6108749169998191,1,54,1,Famous,no,1
1,1,35,q,0.6038151669999934,3,129,0,New,no,0
1,1,36,p,0.4695402500001365,2,33,1,Famous,no,0
1,1,37,p,0.6762231249995239,3,66,0,New,no,1
1,1,38,q,0.44689466599993466,2,19,0,New,no,0
1,1,39,p,0.5451702500004103,1,35,1,Famous,no,0
1,1,40,p,0.60508445799951,2,107,0,New,no,1
1,1,41,p,0.7395025830001032,1,70,0,New,no,1
1,1,42,p,0.6864649580002151,3,140,0,New,no,1
1,1,43,q,0.7074610830004531,1,15,1,Famous,no,1
1,1,44,q,0.650850791999801,1,51,0,New,no,0
1,1,45,q,0.6282092080000439,3,61,0,New,no,0
1,1,46,q,0.635746332999588,2,18,0,New,no,0
1,1,47,p,0.7341969170001903,3,78,0,New,no,1
1,1,48,p,0.6237987079994127,1,5,1,Famous,no,0
1,1,50,p,0.8496027920000415,1,26,1,Famous,no,0
1,1,51,p,0.5313595409998015,1,141,0,New,no,1
1,1,52,p,0.5442488749995391,3,12,1,Famous,no,0
1,1,53,p,0.53855483299958,1,59,0,New,no,1
1,1,54,p,0.5298240829997667,1,21,0,New,no,1
1,1,55,p,0.5346186249998937,1,144,0,New,no,1
1,1,56,p,0.6189019579996966,1,23,1,Famous,no,0
1,1,57,p,0.6085084579999602,1,8,1,Famous,no,0
1,1,58,q,0.6914094579997254,3,31,1,Famous,no,1
1,1,59,q,0.7014775409998038,2,24,1,Famous,no,1
1,1,60,q,0.769006833000276,3,20,1,Famous,no,1
1,2,1,q,0.6945699170000807,3,5,1,Famous,no,1
1,2,2,q,0.6146109159999469,1,39,1,Famous,no,1
1,2,3,q,0.695334166000066,1,20,1,Famous,no,1
1,2,4,q,0.5347121660006451,3,136,0,New,no,0
1,2,5,q,0.5452007080002659,3,52,0,New,no,0
1,2,6,p,0.8251996659992074,1,47,0,New,no,1
1,2,7,p,0.6368666659991504,3,29,0,New,no,1
1,2,8,p,0.7666977909993875,1,131,0,New,no,1
1,2,9,q,0.8420803750004779,3,9,1,Famous,no,1
1,2,11,q,0.6043233750006038,3,33,0,New,no,0
1,2,12,q,0.766009916999792,3,38,1,Famous,no,1
1,2,13,p,0.713155542000095,2,4,1,Famous,no,0
1,2,14,p,0.5978097919996799,3,43,0,New,no,1
1,2,15,p,0.4464499579999029,3,39,0,New,no,1
1,2,16,p,0.5406991250001738,2,28,0,New,no,1
1,2,17,p,0.5797279999997045,2,32,0,New,no,1
1,2,18,p,0.5397042499998861,2,8,1,Famous,no,0
1,2,19,q,0.7810934579993045,3,15,1,Famous,no,1
1,2,20,q,0.6148830829997678,2,31,1,Famous,no,1
1,2,21,q,0.6260310000006939,2,25,1,Famous,no,1
1,2,22,p,0.7573091670001304,1,124,0,New,no,1
1,2,23,q,0.5884254170005079,1,62,0,New,no,0
1,2,24,q,0.7012755839996316,3,24,1,Famous,no,1
1,2,25,q,0.5867738329998247,3,60,0,New,no,0
1,2,26,q,0.5377202079998824,3,104,0,New,no,0
1,2,27,q,0.630228208000517,2,26,1,Famous,no,1
1,2,28,q,0.5121484579995013,2,38,0,New,no,0
1,2,29,p,0.5996458750005331,3,45,0,New,no,1
1,2,30,p,0.5419947919999686,2,93,0,New,no,1
1,2,31,p,0.6976761659998374,3,28,1,Famous,no,0
1,2,32,p,0.6428975420003553,2,92,0,New,no,1
1,2,33,p,0.497699334000572,3,41,0,New,no,1
1,2,34,p,0.6964272080003866,3,35,1,Famous,no,0
1,2,35,p,0.6082755419993191,3,109,0,New,no,1
1,2,37,p,0.621744832999866,2,34,1,Famous,no,0
1,2,38,p,0.6876645420006753,3,134,0,New,no,1
1,2,39,p,0.5335215830000379,3,17,0,New,no,1
1,2,40,p,0.52923600000031,3,106,0,New,no,1
1,2,41,p,0.5319427920003363,3,153,0,New,no,1
1,2,42,p,0.5311873749997176,1,151,0,New,no,1
1,2,43,p,0.5407717079997383,1,14,1,Famous,no,0
1,2,44,p,0.5480789590001223,2,32,1,Famous,no,0
1,2,45,q,0.7691182500002469,3,48,1,Famous,no,1
1,2,46,p,0.5934402090006188,3,71,0,New,no,1
1,2,47,p,0.6250405829996453,2,12,1,Famous,no,0
1,2,48,q,0.7240344170004391,1,50,0,New,no,0
1,2,50,p,0.6073266670000521,3,16,0,New,no,1
1,2,51,p,0.5327067079997505,3,113,0,New,no,1
1,2,52,p,0.5344304170002943,1,42,1,Famous,no,0
1,2,53,p,0.4687478750001901,2,13,1,Famous,no,0
1,2,54,p,0.47001079199981177,3,1,1,Famous,no,0
1,2,55,p,0.4188317909993202,2,13,0,New,no,1
1,2,56,p,0.5470528750001904,2,46,1,Famous,no,0
1,2,57,p,0.54155762499976845,1,52,1,Famous,no,0
1,2,58,q,0.7037372499999037,2,50,1,Famous,no,1
1,2,59,p,0.6252433330000713,2,54,1,Famous,no,0
1,2,60,p,0.6141844579997269,3,36,1,Famous,no,0
1,3,1,q,0.7745421250001527,2,15,1,Famous,no,1
1,3,2,q,0.6835593329997209,2,115,0,New,no,0
1,3,3,p,0.6248743750002177,1,34,1,Famous,no,0
1,3,4,q,0.6183291669995015,3,54,1,Famous,no,1
1,3,5,p,0.5395292090006478,1,46,1,Famous,no,0
1,3,6,p,0.6230263329998706,2,20,1,Famous,no,0
1,3,7,p,0.5434218749996944,1,13,1,Famous,no,0
1,3,8,p,0.6174216250001336,3,26,1,Famous,no,0
1,3,9,p,0.4951035829999455,1,77,0,New,no,1
1,3,10,q,0.6779651249999006,1,88,0,New,no,0
1,3,11,q,0.6023606250000739,3,147,0,New,no,0
1,3,12,p,0.620359833999828,3,25,1,Famous,no,0
1,3,13,q,0.45944937499916705,1,50,1,Famous,no,1
1,3,14,p,0.6816623750000872,2,150,0,New,no,1
1,3,15,p,0.6185590840004807,1,31,1,Famous,no,0
1,3,16,p,0.5370643750002273,1,9,1,Famous,no,0
1,3,17,p,0.5652538329995878,3,36,0,New,no,1
1,3,18,q,0.6277465000002849,1,12,1,Famous,no,1
1,3,19,q,0.516313916999934,1,49,0,New,no,0
1,3,20,p,0.5404689999995753,3,33,1,Famous,no,0
1,3,21,p,0.6205219169996781,2,48,1,Famous,no,0
1,3,22,p,0.7866657499998837,2,52,1,Famous,no,0
1,3,23,p,0.650637208000262,3,44,0,New,no,1
1,3,24,p,0.625345166000443,1,28,1,Famous,no,0
1,3,25,p,0.7254012089997559,1,23,0,New,no,1
1,3,26,q,0.582601541999793,2,25,0,New,no,0
