pid,block,trial,keypress,rt,ori,stim,fam,cond,acc
1,1,1,p,1.098072792000039,2,47,1,Famous,0
1,1,2,q,1.0678701250003542,3,11,1,Famous,1
1,1,3,q,0.8059581669999716,3,34,1,Famous,1
1,1,4,q,0.7673997500000951,1,24,1,Famous,1
1,1,5,p,0.7501205830003528,1,49,0,New,1
1,1,6,p,0.7367497089999233,3,10,0,New,1
1,1,7,q,0.9636233340002036,2,56,1,Famous,1
1,1,8,p,0.6965061250002691,2,44,0,New,1
1,1,9,p,0.7472674999999072,2,143,0,New,1
1,1,10,q,0.8188407500001631,2,39,1,Famous,1
1,1,11,p,0.6560728329995982,3,76,0,New,1
1,1,12,p,0.7505904170002395,1,151,0,New,1
1,1,13,p,0.6759298330002821,1,57,1,Famous,0
1,1,14,q,0.7029553329998635,3,38,1,Famous,1
1,1,15,p,0.6190475829998832,2,38,0,New,1
1,1,16,q,0.9588359579997814,3,35,1,Famous,1
1,1,17,p,0.7199517079998259,3,42,1,Famous,0
1,1,18,p,0.7456333330001144,2,79,0,New,1
1,1,19,p,0.748978917000386,1,97,0,New,1
1,1,20,q,0.7145099579997805,2,12,1,Famous,1
1,1,21,p,0.7564578329997858,2,92,0,New,1
1,1,22,q,0.7356931670001359,3,23,1,Famous,1
1,1,23,q,0.717800041999908,3,1,1,Famous,1
1,1,24,q,0.8655216250003832,3,49,1,Famous,1
1,1,25,p,0.7455815419998544,2,112,0,New,1
1,1,26,p,1.0453438330000608,1,150,0,New,1
1,1,27,p,0.6655521659999977,2,13,0,New,1
1,1,28,p,0.5891747079999732,2,98,0,New,1
1,1,29,p,0.7415874159996747,2,57,0,New,1
1,1,30,p,0.7937908750000133,1,125,0,New,1
1,1,31,q,0.8195021249998717,2,41,1,Famous,1
1,1,32,q,1.0077647090001849,3,54,1,Famous,1
1,1,33,p,0.6989179580000382,3,77,0,New,1
1,1,34,p,0.6405720829998245,2,22,0,New,1
1,1,35,q,1.0818881670002156,2,50,1,Famous,1
1,1,36,p,0.6137328750000961,3,51,0,New,1
1,1,37,p,0.8962755840002501,3,118,0,New,1
1,1,38,p,0.6512547919996905,3,111,0,New,1
1,1,39,q,0.9242082499999924,2,28,1,Famous,1
1,1,40,q,0.8091900419999547,1,48,1,Famous,1
1,1,41,q,1.1181022920000032,3,40,1,Famous,1
1,1,42,q,0.7188911250000274,2,32,1,Famous,1
1,1,43,q,0.9138411670001004,3,59,1,Famous,1
1,1,44,q,0.7612692910001897,3,3,1,Famous,1
1,1,45,p,0.7967361249998248,3,117,0,New,1
1,1,46,p,0.7257071249996443,1,69,0,New,1
1,1,47,p,0.7456069579998257,3,33,0,New,1
1,1,48,p,0.8447869169999649,1,145,0,New,1
1,1,49,p,0.7953864169999179,3,120,0,New,1
1,1,50,p,1.0838979160002964,1,2,0,New,1
1,1,51,p,0.6629625000000487,2,82,0,New,1
1,1,52,q,0.8856337500001246,1,51,1,Famous,1
1,1,53,q,0.9616402500000732,3,29,1,Famous,1
1,1,54,q,0.8080359999999018,3,52,1,Famous,1
1,1,55,p,0.6815836250002576,2,18,0,New,1
1,1,56,p,0.683368167000026,3,91,0,New,1
1,1,57,p,0.8583280410002772,1,36,1,Famous,0
1,1,58,q,0.9096477499997492,2,5,1,Famous,1
1,1,59,q,0.7712540829998034,1,33,1,Famous,1
1,1,60,q,0.7013112500003444,3,45,1,Famous,1
1,2,1,q,0.7620835829998214,1,39,1,Famous,1
1,2,2,q,1.1232394579997165,1,11,1,Famous,1
1,2,3,p,0.6225057080000624,1,19,0,New,1
1,2,4,p,0.8001793749999706,2,135,0,New,1
1,2,5,q,0.7134224159999576,1,5,1,Famous,1
1,2,6,q,0.9258699579995664,2,57,1,Famous,1
1,2,7,p,0.6236040420003519,3,16,0,New,1
1,2,8,p,0.7975058329998319,3,139,0,New,1
1,2,9,q,0.6681863339999836,2,24,1,Famous,1
1,2,10,q,0.6910180410000066,2,35,1,Famous,1
1,2,11,p,0.9624154580001232,2,23,0,New,1
1,2,12,q,0.7369097910000164,2,1,1,Famous,1
1,2,13,q,0.7153553749999446,2,52,1,Famous,1
1,2,14,p,0.7221430409999812,3,26,0,New,1
1,2,15,p,0.6158002499996655,1,59,0,New,1
1,2,16,p,0.7352855000003728,3,25,0,New,1
1,2,17,q,0.8688866249999592,3,12,1,Famous,1
1,2,18,p,0.6368014580002637,1,88,0,New,1
1,2,19,p,0.7457015840000167,2,129,0,New,1
1,2,20,p,1.0477355410002929,1,61,0,New,1
1,2,21,q,0.7168327079998562,2,29,1,Famous,1
1,2,22,p,0.7972001670000282,3,140,0,New,1
1,2,23,p,0.5761867910000547,1,71,0,New,1
1,2,24,q,0.8152864579997186,2,34,1,Famous,1
1,2,25,q,0.8175390420001349,1,49,1,Famous,1
1,2,26,p,0.7848960409996835,3,60,0,New,1
1,2,27,p,0.6970615830000497,3,109,0,New,1
1,2,28,p,0.6160964999999123,2,29,0,New,1
1,2,29,p,0.6007495419999032,3,136,0,New,1
