50,8,9,Millie Bobby Brown
12,10,9,Daniel Radcliffe
13,10,10,Denzel Washighton
55,8,8,Charlize Theron
1,10,7,Leonardo Di Caprio
18,10,9,Jason Statham
22,4,5,Lebron James
21,10,10,Henri Canvill
39,10,8,Scarlett Johansson
4,10,6,Cristiano Ronaldo
53,10,7,Keira Knightley
9,10,7,Bradley Cooper
48,8,6,Jennifer Lawrence
56,10,9,Reese Witherspoon
58,10,6,Nicole Kidman
38,10,8,Taylor Swift
52,10,10,Emma Watson
20,10,8,Matt Damon
3,10,10,Roger Federer
24,10,5,Ryan Reynolds
42,10,8,Greta Thunberg
25,10,5,Robert De Niro
19,10,5,Nicolas Cage
40,10,10,Gal Gadot
6,10,5,Arnold Schwarzeneger
5,10,5,Lionel Messi
15,9,5,Harrison Ford
31,10,6,Sandra Bullock
60,9,6,Anya Taylor-Joy
32,10,7,Anne Hathaway
37,10,7,Natalie Portman
16,9,7,Ewan McGregor
7,10,5,Ben Affleck
14,10,8,Daniel Craig
54,10,7,Julia Roberts
27,10,10,Keanu Reeves
49,3,5,Olivia Rodrigo
47,10,6,Hillary Clinton
51,10,8,Margot Robbie
34,10,6,Angelina Jolie
36,10,8,Lady Gaga
29,10,9,Tom Holland
35,10,9,Adele
46,10,8,Emma Stone
59,10,10,Michelle Obama
11,10,9,Chris Evans
41,10,5,Ariana Grande
28,10,7,Dwayne Johnson
43,3,5,Maria Sharapova
45,10,7,Jennifer Aniston
30,10,4,Tom Cruise
26,10,8,George Clooney
23,10,9,Ryan Gosling
33,10,9,Simone Biles
10,10,7,Bruce Willis
2,10,1,George W.Bush
57,10,8,Serena Williams
17,10,9,Hugh Jackman
8,10,6,Brad Pitt
44,10,8,Cate Blanchett
